PeakID (cmd=annotatePeaks.pl AkaaF3Heat_REP1.mLb.clN_peaks.broadPeak Dmel_FB_r6_v46_chr_andMt.fasta -gid -gtf Dmel_FB_r6_v46_chr_andMt.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
AkaaF3Heat_REP1.mLb.clN_peak_346	chr2L	3466074	3466325	+	22	NA	promoter-TSS (FBgn0021967)	-promoter-TSS (FBgn0021967)	42	FBgn0021967	FBgn0021967	FBtr0077521						NA
AkaaF3Heat_REP1.mLb.clN_peak_11036	chrX	330029	330355	+	22	NA	intron (FBgn0052816, intron 2 of 2)	-intron (FBgn0024989, intron 1 of 5)	4609	FBgn0052816	FBgn0052816	FBtr0273442						NA
AkaaF3Heat_REP1.mLb.clN_peak_2575	chr2R	6141276	6142808	+	22	NA	promoter-TSS (FBgn0011958)	-promoter-TSS (FBgn0011958)	-123	FBgn0011958	FBgn0011958	FBtr0085979						NA
AkaaF3Heat_REP1.mLb.clN_peak_9687	chr3R	21365251	21365601	+	22	NA	promoter-TSS (FBgn0002781)	-promoter-TSS (FBgn0002781)	-136	FBgn0266172	FBgn0266172	FBtr0343749						NA
AkaaF3Heat_REP1.mLb.clN_peak_9037	chr3R	15206222	15206501	+	22	NA	promoter-TSS (FBgn0028984)	-promoter-TSS (FBgn0028984)	86	FBgn0028984	FBgn0028984	FBtr0083142						NA
AkaaF3Heat_REP1.mLb.clN_peak_3131	chr2R	10309781	10310145	+	22	NA	promoter-TSS (FBgn0033507)	-promoter-TSS (FBgn0033507)	-150	FBgn0033507	FBgn0033507	FBtr0088348						NA
AkaaF3Heat_REP1.mLb.clN_peak_5713	chr3L	6652946	6653737	+	22	NA	Intergenic	Intergenic	11091	FBgn0266774	FBgn0266774	FBtr0345399						NA
AkaaF3Heat_REP1.mLb.clN_peak_9897	chr3R	23384871	23385162	+	22	NA	promoter-TSS (FBgn0039075)	-promoter-TSS (FBgn0039075)	-239	FBgn0039075	FBgn0039075	FBtr0339617						NA
AkaaF3Heat_REP1.mLb.clN_peak_12592	chrX	14289078	14290689	+	22	NA	promoter-TSS (FBgn0030562)	-promoter-TSS (FBgn0030562)	-490	FBgn0030562	FBgn0030562	FBtr0073920						NA
AkaaF3Heat_REP1.mLb.clN_peak_9012	chr3R	14829157	14829830	+	22	NA	intron (FBgn0266756, intron 1 of 11)	-intron (FBgn0266756, intron 1 of 11)	11867	FBgn0267688	FBgn0267688	FBtr0347180						NA
AkaaF3Heat_REP1.mLb.clN_peak_954	chr2L	9556884	9557065	+	22	NA	exon (FBgn0032129, exon 2 of 10)	-exon (FBgn0032129, exon 2 of 10)	8464	FBgn0287599	FBgn0287599	FBtr0479943						NA
AkaaF3Heat_REP1.mLb.clN_peak_13394	chrX	21183982	21184247	+	22	NA	Intergenic	Intergenic	-3865	FBgn0267062	FBgn0267062	FBtr0346048						NA
AkaaF3Heat_REP1.mLb.clN_peak_8694	chr3R	11876919	11877338	+	22	NA	promoter-TSS (FBgn0003312)	-promoter-TSS (FBgn0003312)	-107	FBgn0003312	FBgn0003312	FBtr0082475						NA
AkaaF3Heat_REP1.mLb.clN_peak_6077	chr3L	10368990	10369380	+	22	NA	Intergenic	Intergenic	5166	FBgn0267668	FBgn0267668	FBtr0347140						NA
AkaaF3Heat_REP1.mLb.clN_peak_774	chr2L	7782842	7783099	+	22	NA	TTS (FBgn0031946)	-TTS (FBgn0031946)	105	FBgn0031947	FBgn0031947	FBtr0079488						NA
AkaaF3Heat_REP1.mLb.clN_peak_13625	chrX	23051761	23052911	+	22	NA	Intergenic	Intergenic	16270	FBgn0040031	FBgn0040031	FBtr0333740						NA
AkaaF3Heat_REP1.mLb.clN_peak_741	chr2L	7530573	7531013	+	22	NA	promoter-TSS (FBgn0264895)	-promoter-TSS (FBgn0264895)	11114	FBgn0264891	FBgn0264891	FBtr0334845						NA
AkaaF3Heat_REP1.mLb.clN_peak_8492	chr3R	9725125	9725659	+	22	NA	TTS (FBgn0262477)	-TTS (FBgn0262477)	223	FBgn0002431	FBgn0002431	FBtr0339599						NA
AkaaF3Heat_REP1.mLb.clN_peak_12963	chrX	17751778	17751898	+	22	NA	TTS (FBgn0261570)	-TTS (FBgn0261570)	13425	FBgn0261570	FBgn0261570	FBtr0302834						NA
AkaaF3Heat_REP1.mLb.clN_peak_6752	chr3L	16385443	16385793	+	22	NA	promoter-TSS (FBgn0036624)	-promoter-TSS (FBgn0036624)	191	FBgn0036623	FBgn0036623	FBtr0075417						NA
AkaaF3Heat_REP1.mLb.clN_peak_11145	chrX	1067874	1068050	+	22	NA	intron (FBgn0266005, intron 1 of 1)	-intron (FBgn0266005, intron 1 of 2)	16437	FBgn0040398	FBgn0040398	FBtr0070179						NA
AkaaF3Heat_REP1.mLb.clN_peak_7752	chr3R	4281739	4282606	+	22	NA	promoter-TSS (FBgn0041605)	-promoter-TSS (FBgn0041605)	1951	FBgn0041605	FBgn0041605	FBtr0078902						NA
AkaaF3Heat_REP1.mLb.clN_peak_13447	chrX	21467512	21467623	+	22	NA	promoter-TSS (FBgn0267063)	-promoter-TSS (FBgn0267063)	34	FBgn0267063	FBgn0267063	FBtr0346050						NA
AkaaF3Heat_REP1.mLb.clN_peak_10245	chr3R	26953906	26954499	+	22	NA	promoter-TSS (FBgn0039464)	-promoter-TSS (FBgn0039464)	-948	FBgn0039464	FBgn0039464	FBtr0085084						NA
AkaaF3Heat_REP1.mLb.clN_peak_12007	chrX	8502033	8502349	+	22	NA	promoter-TSS (FBgn0053181)	-promoter-TSS (FBgn0053181)	10846	FBgn0053181	FBgn0053181	FBtr0333145						NA
AkaaF3Heat_REP1.mLb.clN_peak_13219	chrX	19730979	19731246	+	22	NA	TTS (FBgn0031064)	-TTS (FBgn0031064)	108	FBgn0010380	FBgn0010380	FBtr0074789						NA
AkaaF3Heat_REP1.mLb.clN_peak_405	chr2L	4110421	4110745	+	22	NA	intron (FBgn0000547, intron 8 of 8)	-intron (FBgn0000547, intron 8 of 8)	-9760	FBgn0020376	FBgn0020376	FBtr0077466						NA
AkaaF3Heat_REP1.mLb.clN_peak_9468	chr3R	19299144	19299649	+	22	NA	Intergenic	Intergenic	-1701	FBgn0265063	FBgn0265063	FBtr0336793						NA
AkaaF3Heat_REP1.mLb.clN_peak_6128	chr3L	10775717	10776842	+	22	NA	Intergenic	Intergenic	4354	FBgn0262890	FBgn0262890	FBtr0334743						NA
AkaaF3Heat_REP1.mLb.clN_peak_1955	chr2L	19587164	19587648	+	22	NA	TTS (FBgn0032814)	-TTS (FBgn0032814)	783	FBgn0000464	FBgn0000464	FBtr0331242						NA
AkaaF3Heat_REP1.mLb.clN_peak_3447	chr2R	12936275	12936963	+	22	NA	promoter-TSS (FBgn0033785)	-promoter-TSS (FBgn0033785)	-84	FBgn0033784	FBgn0033784	FBtr0087805						NA
AkaaF3Heat_REP1.mLb.clN_peak_12455	chrX	13111825	13112552	+	22	NA	exon (FBgn0263005, exon 1 of 6)	-exon (FBgn0263005, exon 1 of 6)	274	FBgn0263005	FBgn0263005	FBtr0346130						NA
AkaaF3Heat_REP1.mLb.clN_peak_6628	chr3L	15141705	15142584	+	22	NA	promoter-TSS (FBgn0266945)	-promoter-TSS (FBgn0266945)	13	FBgn0266945	FBgn0266945	FBtr0345844						NA
AkaaF3Heat_REP1.mLb.clN_peak_6586	chr3L	14790128	14790537	+	22	NA	promoter-TSS (FBgn0036451)	-promoter-TSS (FBgn0036451)	-1105	FBgn0036451	FBgn0036451	FBtr0075693						NA
AkaaF3Heat_REP1.mLb.clN_peak_9808	chr3R	22487159	22487369	+	22	NA	promoter-TSS (FBgn0038976)	-promoter-TSS (FBgn0038976)	225	FBgn0038976	FBgn0038976	FBtr0301486						NA
AkaaF3Heat_REP1.mLb.clN_peak_10011	chr3R	24582032	24582925	+	22	NA	TTS (FBgn0039210)	-TTS (FBgn0039210)	2682	FBgn0039210	FBgn0039210	FBtr0084671						NA
AkaaF3Heat_REP1.mLb.clN_peak_12779	chrX	15986358	15986927	+	22	NA	TTS (FBgn0030719)	-TTS (FBgn0030719)	166	FBgn0030718	FBgn0030718	FBtr0340417						NA
AkaaF3Heat_REP1.mLb.clN_peak_9782	chr3R	22183825	22184007	+	22	NA	intron (FBgn0051163, intron 4 of 18)	-intron (FBgn0051163, intron 4 of 18)	25561	FBgn0266751	FBgn0266751	FBtr0345327						NA
AkaaF3Heat_REP1.mLb.clN_peak_11053	chrX	427926	428410	+	22	NA	promoter-TSS (FBgn0052816)	-promoter-TSS (FBgn0052816)	9280	FBgn0011822	FBgn0011822	FBtr0070100						NA
AkaaF3Heat_REP1.mLb.clN_peak_12225	chrX	10763254	10763567	+	22	NA	promoter-TSS (FBgn0052675)	-promoter-TSS (FBgn0052675)	1003	FBgn0052675	FBgn0052675	FBtr0346377						NA
AkaaF3Heat_REP1.mLb.clN_peak_4756	chr2R	23808958	23809119	+	22	NA	promoter-TSS (FBgn0034908)	-promoter-TSS (FBgn0034908)	-34	FBgn0010278	FBgn0010278	FBtr0072242						NA
AkaaF3Heat_REP1.mLb.clN_peak_11428	chrX	3152666	3153449	+	22	NA	intron (FBgn0004647, intron 2 of 8)	-intron (FBgn0004647, intron 2 of 8)	18187	FBgn0004647	FBgn0004647	FBtr0070507						NA
AkaaF3Heat_REP1.mLb.clN_peak_9299	chr3R	17646301	17646850	+	22	NA	TTS (FBgn0051578)	-TTS (FBgn0051578)	180	FBgn0051580	FBgn0051580	FBtr0083492						NA
AkaaF3Heat_REP1.mLb.clN_peak_5434	chr3L	4139008	4139357	+	22	NA	promoter-TSS (FBgn0004574)	-promoter-TSS (FBgn0004574)	106	FBgn0003206	FBgn0003206	FBtr0073212						NA
AkaaF3Heat_REP1.mLb.clN_peak_9038	chr3R	15225351	15225604	+	22	NA	promoter-TSS (FBgn0263979)	-promoter-TSS (FBgn0263979)	-99	FBgn0263979	FBgn0263979	FBtr0301845						NA
AkaaF3Heat_REP1.mLb.clN_peak_115	chr2L	1007511	1008263	+	22	NA	TTS (FBgn0031294)	-TTS (FBgn0031294)	-11772	FBgn0287617	FBgn0287617	FBtr0479958						NA
AkaaF3Heat_REP1.mLb.clN_peak_7346	chr3L	21460423	21460641	+	22	NA	Intergenic	Intergenic	14698	FBgn0267849	FBgn0267849	FBtr0078352						NA
AkaaF3Heat_REP1.mLb.clN_peak_4298	chr2R	20118726	20119074	+	22	NA	Intergenic	Intergenic	7389	FBgn0287775	FBgn0287775	FBtr0086309						NA
AkaaF3Heat_REP1.mLb.clN_peak_5646	chr3L	6173855	6174169	+	22	NA	promoter-TSS (FBgn0035689)	-promoter-TSS (FBgn0035689)	-132	FBgn0035688	FBgn0035688	FBtr0331791						NA
AkaaF3Heat_REP1.mLb.clN_peak_1241	chr2L	13098226	13098572	+	22	NA	Intergenic	Intergenic	1405	FBgn0267003	FBgn0267003	FBtr0345953						NA
AkaaF3Heat_REP1.mLb.clN_peak_10835	chr4	60047	60722	+	22	NA	exon (FBgn0264617, exon 3 of 4)	-exon (FBgn0264617, exon 3 of 4)	3887	FBgn0264617	FBgn0264617	FBtr0333705						NA
AkaaF3Heat_REP1.mLb.clN_peak_6199	chr3L	11297130	11297524	+	22	NA	Intergenic	Intergenic	-1408	FBgn0036152	FBgn0036152	FBtr0333389						NA
AkaaF3Heat_REP1.mLb.clN_peak_12920	chrX	17397216	17397346	+	22	NA	promoter-TSS (FBgn0011758)	-promoter-TSS (FBgn0011758)	-197	FBgn0011758	FBgn0011758	FBtr0074430						NA
AkaaF3Heat_REP1.mLb.clN_peak_6425	chr3L	13412844	13413128	+	22	NA	promoter-TSS (FBgn0260049)	-promoter-TSS (FBgn0260049)	-20	FBgn0260049	FBgn0260049	FBtr0075846						NA
AkaaF3Heat_REP1.mLb.clN_peak_12839	chrX	16655605	16656037	+	22	NA	promoter-TSS (FBgn0030768)	-promoter-TSS (FBgn0030768)	351	FBgn0003189	FBgn0003189	FBtr0340156						NA
AkaaF3Heat_REP1.mLb.clN_peak_2312	chr2L	23373620	23374274	+	22	NA	Intergenic	Intergenic	-41969	FBgn0085664	FBgn0085664	FBtr0304148						NA
AkaaF3Heat_REP1.mLb.clN_peak_6133	chr3L	10805387	10805731	+	22	NA	exon (FBgn0265447, exon 1 of 1)	-exon (FBgn0265447, exon 1 of 1)	375	FBgn0265447	FBgn0265447	FBtr0339803						NA
AkaaF3Heat_REP1.mLb.clN_peak_9332	chr3R	17953431	17953878	+	22	NA	intron (FBgn0263995, intron 2 of 11)	-intron (FBgn0263995, intron 2 of 11)	9548	FBgn0263995	FBgn0263995	FBtr0330271						NA
AkaaF3Heat_REP1.mLb.clN_peak_12187	chrX	10473603	10474694	+	22	NA	promoter-TSS (FBgn0261710)	-promoter-TSS (FBgn0261710)	-561	FBgn0261710	FBgn0261710	FBtr0071461						NA
AkaaF3Heat_REP1.mLb.clN_peak_2311	chr2L	23370986	23372824	+	22	NA	Intergenic	Intergenic	-44011	FBgn0085664	FBgn0085664	FBtr0304148						NA
AkaaF3Heat_REP1.mLb.clN_peak_9243	chr3R	17151798	17152003	+	22	NA	promoter-TSS (FBgn0038491)	-promoter-TSS (FBgn0038491)	39	FBgn0038491	FBgn0038491	FBtr0337042						NA
AkaaF3Heat_REP1.mLb.clN_peak_12924	chrX	17422107	17422219	+	22	NA	promoter-TSS (FBgn0027602)	-promoter-TSS (FBgn0027602)	-18	FBgn0027602	FBgn0027602	FBtr0340619						NA
AkaaF3Heat_REP1.mLb.clN_peak_25	chr2L	246694	246967	+	22	NA	intron (FBgn0266557, intron 1 of 16)	-intron (FBgn0266557, intron 1 of 17)	-2079	FBgn0265149	FBgn0265149	FBtr0336987						NA
AkaaF3Heat_REP1.mLb.clN_peak_2355	chr2R	2710659	2710810	+	22	NA	Intergenic	Intergenic	135927	FBgn0085638	FBgn0085638	FBtr0301792						NA
AkaaF3Heat_REP1.mLb.clN_peak_6221	chr3L	11442152	11442533	+	22	NA	Intergenic	Intergenic	2762	FBgn0265742	FBgn0265742	FBtr0340699						NA
AkaaF3Heat_REP1.mLb.clN_peak_6778	chr3L	16660077	16661778	+	22	NA	intron (FBgn0260960, intron 1 of 4)	-intron (FBgn0260960, intron 1 of 4)	688	FBgn0260960	FBgn0260960	FBtr0075355						NA
AkaaF3Heat_REP1.mLb.clN_peak_1195	chr2L	12521066	12521283	+	22	NA	intron (FBgn0259176, intron 5 of 7)	-intron (FBgn0259176, intron 5 of 7)	13066	FBgn0263458	FBgn0263458	FBtr0309757						NA
AkaaF3Heat_REP1.mLb.clN_peak_6037	chr3L	9853897	9854794	+	22	NA	intron (FBgn0004390, intron 1 of 4)	-intron (FBgn0004390, intron 1 of 4)	940	FBgn0004390	FBgn0004390	FBtr0330168						NA
AkaaF3Heat_REP1.mLb.clN_peak_12109	chrX	9650453	9651467	+	22	NA	promoter-TSS (FBgn0028341)	-promoter-TSS (FBgn0028341)	-10336	FBgn0028341	FBgn0028341	FBtr0071404						NA
AkaaF3Heat_REP1.mLb.clN_peak_7119	chr3L	19526202	19526360	+	22	NA	exon (FBgn0036880, exon 3 of 3)	-exon (FBgn0036880, exon 3 of 3)	5336	FBgn0036880	FBgn0036880	FBtr0332754						NA
AkaaF3Heat_REP1.mLb.clN_peak_4967	chr3L	263861	264242	+	22	NA	promoter-TSS (FBgn0035122)	-promoter-TSS (FBgn0035122)	329	FBgn0035121	FBgn0035121	FBtr0332107						NA
AkaaF3Heat_REP1.mLb.clN_peak_5995	chr3L	9430189	9430584	+	22	NA	promoter-TSS (FBgn0040305)	-promoter-TSS (FBgn0040305)	74	FBgn0040305	FBgn0040305	FBtr0344236						NA
AkaaF3Heat_REP1.mLb.clN_peak_5299	chr3L	2879033	2880085	+	22	NA	promoter-TSS (FBgn0263392)	-promoter-TSS (FBgn0263392)	-401	FBgn0263392	FBgn0263392	FBtr0333881						NA
AkaaF3Heat_REP1.mLb.clN_peak_1064	chr2L	11038165	11038730	+	22	NA	intron (FBgn0032330, intron 2 of 6)	-intron (FBgn0032330, intron 2 of 6)	3652	FBgn0040967	FBgn0040967	FBtr0080160						NA
AkaaF3Heat_REP1.mLb.clN_peak_2791	chr2R	7632510	7632780	+	22	NA	promoter-TSS (FBgn0263046)	-promoter-TSS (FBgn0263046)	-196	FBgn0263046	FBgn0263046	FBtr0306944						NA
AkaaF3Heat_REP1.mLb.clN_peak_5207	chr3L	2118810	2118966	+	22	NA	exon (FBgn0052311, exon 16 of 17)	-exon (FBgn0052311, exon 16 of 17)	390	FBgn0267452	FBgn0267452	FBtr0346823						NA
AkaaF3Heat_REP1.mLb.clN_peak_5938	chr3L	8786840	8787667	+	22	NA	TTS (FBgn0035926)	-TTS (FBgn0035926)	1292	FBgn0035926	FBgn0035926	FBtr0076591						NA
AkaaF3Heat_REP1.mLb.clN_peak_3491	chr2R	13304283	13304411	+	22	NA	Intergenic	Intergenic	5352	FBgn0033827	FBgn0033827	FBtr0345663						NA
AkaaF3Heat_REP1.mLb.clN_peak_4301	chr2R	20143029	20144058	+	22	NA	Intergenic	Intergenic	-2575	FBgn0034481	FBgn0034481	FBtr0300692						NA
AkaaF3Heat_REP1.mLb.clN_peak_8842	chr3R	13208280	13208456	+	22	NA	TTS (FBgn0038126)	-TTS (FBgn0038126)	6097	FBgn0038126	FBgn0038126	FBtr0082782						NA
AkaaF3Heat_REP1.mLb.clN_peak_4788	chr2R	24131436	24131718	+	22	NA	intron (FBgn0041582, intron 1 of 4)	-intron (FBgn0041582, intron 1 of 4)	1974	FBgn0041582	FBgn0041582	FBtr0343438						NA
AkaaF3Heat_REP1.mLb.clN_peak_12914	chrX	17301940	17302765	+	22	NA	promoter-TSS (FBgn0030838)	-promoter-TSS (FBgn0030838)	-10683	FBgn0024238	FBgn0024238	FBtr0074441						NA
AkaaF3Heat_REP1.mLb.clN_peak_9201	chr3R	16651992	16652381	+	22	NA	TTS (FBgn0051217)	-TTS (FBgn0051217)	133	FBgn0038455	FBgn0038455	FBtr0479872						NA
AkaaF3Heat_REP1.mLb.clN_peak_9318	chr3R	17794207	17794532	+	22	NA	promoter-TSS (FBgn0038545)	-promoter-TSS (FBgn0038545)	-706	FBgn0038545	FBgn0038545	FBtr0305007						NA
AkaaF3Heat_REP1.mLb.clN_peak_11884	chrX	7389251	7389401	+	22	NA	intron (FBgn0265457, intron 1 of 4)	-intron (FBgn0029941, intron 1 of 6)	-6336	FBgn0261849	FBgn0261849	FBtr0303417						NA
AkaaF3Heat_REP1.mLb.clN_peak_5018	chr3L	648483	648869	+	22	NA	promoter-TSS (FBgn0035147)	-promoter-TSS (FBgn0035147)	-98	FBgn0035147	FBgn0035147	FBtr0306917						NA
AkaaF3Heat_REP1.mLb.clN_peak_6335	chr3L	12620002	12620585	+	22	NA	exon (FBgn0015919, exon 5 of 5)	-exon (FBgn0015919, exon 5 of 5)	-7641	FBgn0052111	FBgn0052111	FBtr0344477						NA
AkaaF3Heat_REP1.mLb.clN_peak_4868	chr2R	24790098	24790733	+	22	NA	intron (FBgn0015801, intron 1 of 1)	-intron (FBgn0015801, intron 1 of 2)	2995	FBgn0015801	FBgn0015801	FBtr0072427						NA
AkaaF3Heat_REP1.mLb.clN_peak_1253	chr2L	13207181	13207424	+	22	NA	intron (FBgn0032482, intron 1 of 6)	-intron (FBgn0032482, intron 1 of 6)	3540	FBgn0032482	FBgn0032482	FBtr0334752						NA
AkaaF3Heat_REP1.mLb.clN_peak_4203	chr2R	19423544	19423727	+	22	NA	exon (FBgn0263391, exon 2 of 12)	-exon (FBgn0263391, exon 2 of 12)	1268	FBgn0263391	FBgn0263391	FBtr0475305						NA
AkaaF3Heat_REP1.mLb.clN_peak_2577	chr2R	6145553	6146086	+	22	NA	intron (FBgn0000546, intron 4 of 7)	-intron (FBgn0000546, intron 3 of 6)	-3375	FBgn0011891	FBgn0011891	FBtr0086017						NA
AkaaF3Heat_REP1.mLb.clN_peak_9965	chr3R	23958286	23958887	+	22	NA	promoter-TSS (FBgn0039132)	-promoter-TSS (FBgn0039132)	-65	FBgn0039132	FBgn0039132	FBtr0084496						NA
AkaaF3Heat_REP1.mLb.clN_peak_12285	chrX	11372860	11373316	+	22	NA	promoter-TSS (FBgn0001624)	-promoter-TSS (FBgn0001624)	3423	FBgn0001624	FBgn0001624	FBtr0330390						NA
AkaaF3Heat_REP1.mLb.clN_peak_10623	chr3R	30460319	30460468	+	22	NA	promoter-TSS (FBgn0039774)	-promoter-TSS (FBgn0039774)	872	FBgn0039774	FBgn0039774	FBtr0331357						NA
AkaaF3Heat_REP1.mLb.clN_peak_8924	chr3R	14020776	14020930	+	22	NA	intron (FBgn0264493, intron 2 of 8)	-intron (FBgn0264493, intron 2 of 8)	-8375	FBgn0038194	FBgn0038194	FBtr0089766						NA
AkaaF3Heat_REP1.mLb.clN_peak_6121	chr3L	10738449	10738626	+	22	NA	Intergenic	Intergenic	-33388	FBgn0262890	FBgn0262890	FBtr0334743						NA
AkaaF3Heat_REP1.mLb.clN_peak_6137	chr3L	10830405	10830514	+	22	NA	Intergenic	Intergenic	-5069	FBgn0026160	FBgn0026160	FBtr0301658						NA
AkaaF3Heat_REP1.mLb.clN_peak_1954	chr2L	19582212	19582511	+	22	NA	TTS (FBgn0032813)	-TTS (FBgn0032813)	113	FBgn0032812	FBgn0032812	FBtr0331246						NA
AkaaF3Heat_REP1.mLb.clN_peak_487	chr2L	5027411	5027610	+	22	NA	promoter-TSS (FBgn0016075)	-promoter-TSS (FBgn0016075)	-65	FBgn0016075	FBgn0016075	FBtr0333540						NA
AkaaF3Heat_REP1.mLb.clN_peak_13103	chrX	18848563	18849141	+	22	NA	promoter-TSS (FBgn0030966)	-promoter-TSS (FBgn0030966)	-286	FBgn0030966	FBgn0030966	FBtr0074655						NA
AkaaF3Heat_REP1.mLb.clN_peak_9869	chr3R	23157029	23157253	+	22	NA	TTS (FBgn0039058)	-TTS (FBgn0039058)	721	FBgn0004395	FBgn0004395	FBtr0347570						NA
AkaaF3Heat_REP1.mLb.clN_peak_3603	chr2R	14147856	14148204	+	22	NA	TTS (FBgn0033897)	-TTS (FBgn0033897)	4678	FBgn0033897	FBgn0033897	FBtr0310670						NA
AkaaF3Heat_REP1.mLb.clN_peak_13156	chrX	19241949	19242218	+	22	NA	promoter-TSS (FBgn0031002)	-promoter-TSS (FBgn0031002)	-243	FBgn0031002	FBgn0031002	FBtr0074691						NA
AkaaF3Heat_REP1.mLb.clN_peak_12480	chrX	13329880	13330027	+	22	NA	promoter-TSS (FBgn0040309)	-promoter-TSS (FBgn0040309)	-1066	FBgn0040309	FBgn0040309	FBtr0345161						NA
AkaaF3Heat_REP1.mLb.clN_peak_7338	chr3L	21388801	21389162	+	22	NA	intron (FBgn0261258, intron 1 of 5)	-intron (FBgn0261258, intron 1 of 6)	6480	FBgn0261258	FBgn0261258	FBtr0078346						NA
AkaaF3Heat_REP1.mLb.clN_peak_5447	chr3L	4254298	4254773	+	22	NA	promoter-TSS (FBgn0035517)	-promoter-TSS (FBgn0035517)	-241	FBgn0035517	FBgn0035517	FBtr0073228						NA
AkaaF3Heat_REP1.mLb.clN_peak_1763	chr2L	18012238	18012958	+	22	NA	exon (FBgn0243486, exon 1 of 15)	-exon (FBgn0243486, exon 1 of 15)	218	FBgn0243486	FBgn0243486	FBtr0340228						NA
AkaaF3Heat_REP1.mLb.clN_peak_4023	chr2R	17989533	17989955	+	22	NA	exon (FBgn0034286, exon 2 of 7)	-exon (FBgn0034286, exon 2 of 7)	-15651	FBgn0265592	FBgn0265592	FBtr0340285						NA
AkaaF3Heat_REP1.mLb.clN_peak_5240	chr3L	2382877	2383317	+	22	NA	intron (FBgn0266696, intron 1 of 1)	-intron (FBgn0266696, intron 1 of 9)	4270	FBgn0266696	FBgn0266696	FBtr0345112						NA
AkaaF3Heat_REP1.mLb.clN_peak_3479	chr2R	13222369	13223894	+	22	NA	promoter-TSS (FBgn0043010)	-promoter-TSS (FBgn0043010)	-460	FBgn0011763	FBgn0011763	FBtr0087741						NA
AkaaF3Heat_REP1.mLb.clN_peak_10947	chr4	834214	834437	+	22	NA	promoter-TSS (FBgn0039938)	-promoter-TSS (FBgn0039938)	-8949	FBgn0053797	FBgn0053797	FBtr0334484						NA
AkaaF3Heat_REP1.mLb.clN_peak_7611	chr3L	24099922	24100232	+	22	NA	intron (FBgn0011288, intron 2 of 7)	-intron (FBgn0011288, intron 2 of 7)	25897	FBgn0011288	FBgn0011288	FBtr0304625						NA
AkaaF3Heat_REP1.mLb.clN_peak_12058	chrX	9109533	9110751	+	22	NA	promoter-TSS (FBgn0030089)	-promoter-TSS (FBgn0030089)	592	FBgn0030089	FBgn0030089	FBtr0309255						NA
AkaaF3Heat_REP1.mLb.clN_peak_4327	chr2R	20346498	20346633	+	22	NA	promoter-TSS (FBgn0042198)	-promoter-TSS (FBgn0042198)	-476	FBgn0042198	FBgn0042198	FBtr0086289						NA
AkaaF3Heat_REP1.mLb.clN_peak_12838	chrX	16647697	16648280	+	22	NA	exon (FBgn0030766, exon 2 of 2)	-exon (FBgn0030766, exon 2 of 2)	-1821	FBgn0267826	FBgn0267826	FBtr0347399						NA
AkaaF3Heat_REP1.mLb.clN_peak_7158	chr3L	19908385	19909011	+	22	NA	promoter-TSS (FBgn0264481)	-promoter-TSS (FBgn0264481)	-667	FBgn0264481	FBgn0264481	FBtr0332770						NA
AkaaF3Heat_REP1.mLb.clN_peak_4188	chr2R	19328781	19328994	+	22	NA	exon (FBgn0264753, exon 5 of 17)	-exon (FBgn0264753, exon 5 of 17)	-2002	FBgn0054045	FBgn0054045	FBtr0302390						NA
AkaaF3Heat_REP1.mLb.clN_peak_3092	chr2R	10048106	10048711	+	22	NA	promoter-TSS (FBgn0040773)	-promoter-TSS (FBgn0040773)	55	FBgn0040773	FBgn0040773	FBtr0339412						NA
AkaaF3Heat_REP1.mLb.clN_peak_11153	chrX	1131954	1132127	+	22	NA	intron (FBgn0040397, intron 1 of 6)	-intron (FBgn0040397, intron 1 of 4)	2856	FBgn0040397	FBgn0040397	FBtr0331340						NA
AkaaF3Heat_REP1.mLb.clN_peak_2463	chr2R	5652718	5653094	+	22	NA	promoter-TSS (FBgn0027507)	-promoter-TSS (FBgn0027507)	-91	FBgn0033028	FBgn0033028	FBtr0345359						NA
AkaaF3Heat_REP1.mLb.clN_peak_1675	chr2L	16887684	16889016	+	22	NA	promoter-TSS (FBgn0040985)	-promoter-TSS (FBgn0040985)	-140	FBgn0261671	FBgn0261671	FBtr0340173						NA
AkaaF3Heat_REP1.mLb.clN_peak_1574	chr2L	16041934	16042795	+	22	NA	promoter-TSS (FBgn0000182)	-promoter-TSS (FBgn0000182)	317	FBgn0266459	FBgn0266459	FBtr0344488						NA
AkaaF3Heat_REP1.mLb.clN_peak_13540	chrX	22681114	22681542	+	22	NA	intron (FBgn0266348, intron 1 of 3)	-intron (FBgn0266348, intron 1 of 3)	24004	FBgn0266348	FBgn0266348	FBtr0344073						NA
AkaaF3Heat_REP1.mLb.clN_peak_453	chr2L	4596589	4596997	+	21	NA	intron (FBgn0053196, intron 2 of 46)	-intron (FBgn0053196, intron 2 of 46)	-4830	FBgn0053196	FBgn0053196	FBtr0305142						NA
AkaaF3Heat_REP1.mLb.clN_peak_10790	chr3R	31736730	31737055	+	21	NA	promoter-TSS (FBgn0039868)	-promoter-TSS (FBgn0039868)	71	FBgn0039867	FBgn0039867	FBtr0085865						NA
