PeakID (cmd=annotatePeaks.pl ManzF3Heat_REP2.mLb.clN_peaks.broadPeak Dmel_FB_r6_v46_chr_andMt.fasta -gid -gtf Dmel_FB_r6_v46_chr_andMt.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
ManzF3Heat_REP2.mLb.clN_peak_9108	chr4	167474	168111	+	23	NA	exon (FBgn0053978, exon 4 of 4)	-exon (FBgn0053978, exon 4 of 4)	7348	FBgn0053978	FBgn0053978	FBtr0308251						NA
ManzF3Heat_REP2.mLb.clN_peak_8723	chr3R	28545097	28545241	+	23	NA	promoter-TSS (FBgn0039588)	-promoter-TSS (FBgn0039588)	-352	FBgn0039588	FBgn0039588	FBtr0085293						NA
ManzF3Heat_REP2.mLb.clN_peak_11219	chrX	20819089	20819865	+	23	NA	intron (FBgn0085387, intron 3 of 10)	-intron (FBgn0085387, intron 1 of 8)	-2669	FBgn0031132	FBgn0031132	FBtr0077280						NA
ManzF3Heat_REP2.mLb.clN_peak_8279	chr3R	23156989	23157359	+	23	NA	TTS (FBgn0039058)	-TTS (FBgn0039058)	688	FBgn0004395	FBgn0004395	FBtr0347570						NA
ManzF3Heat_REP2.mLb.clN_peak_2540	chr2R	9426407	9427042	+	23	NA	TTS (FBgn0033413)	-TTS (FBgn0033413)	285	FBgn0017558	FBgn0017558	FBtr0112892						NA
ManzF3Heat_REP2.mLb.clN_peak_5772	chr3L	17611940	17612282	+	23	NA	intron (FBgn0000567, intron 1 of 7)	-intron (FBgn0000567, intron 1 of 7)	7214	FBgn0000567	FBgn0000567	FBtr0305796						NA
ManzF3Heat_REP2.mLb.clN_peak_10088	chrX	8243341	8244025	+	23	NA	promoter-TSS (FBgn0020653)	-promoter-TSS (FBgn0020653)	333	FBgn0030026	FBgn0030026	FBtr0344985						NA
ManzF3Heat_REP2.mLb.clN_peak_10265	chrX	10473573	10474545	+	23	NA	promoter-TSS (FBgn0261710)	-promoter-TSS (FBgn0261710)	-472	FBgn0261710	FBgn0261710	FBtr0071461						NA
ManzF3Heat_REP2.mLb.clN_peak_8945	chr3R	30808526	30809061	+	23	NA	TTS (FBgn0039802)	-TTS (FBgn0039802)	176	FBgn0027598	FBgn0027598	FBtr0085707						NA
ManzF3Heat_REP2.mLb.clN_peak_4404	chr3L	2438942	2439308	+	23	NA	promoter-TSS (FBgn0266696)	-promoter-TSS (FBgn0266696)	36489	FBgn0035343	FBgn0035343	FBtr0072968						NA
ManzF3Heat_REP2.mLb.clN_peak_561	chr2L	6821695	6821944	+	23	NA	promoter-TSS (FBgn0051632)	-promoter-TSS (FBgn0051632)	-115	FBgn0051632	FBgn0051632	FBtr0345446						NA
ManzF3Heat_REP2.mLb.clN_peak_8822	chr3R	29520316	29520498	+	23	NA	Intergenic	Intergenic	4690	FBgn0039669	FBgn0039669	FBtr0339902						NA
ManzF3Heat_REP2.mLb.clN_peak_8504	chr3R	26005981	26006721	+	23	NA	promoter-TSS (FBgn0002733)	-promoter-TSS (FBgn0002733)	-328	FBgn0002733	FBgn0002733	FBtr0084982						NA
ManzF3Heat_REP2.mLb.clN_peak_6178	chr3L	21769528	21770774	+	23	NA	exon (FBgn0037130, exon 1 of 8)	-exon (FBgn0037130, exon 1 of 8)	336	FBgn0037133	FBgn0037133	FBtr0078436						NA
ManzF3Heat_REP2.mLb.clN_peak_4358	chr3L	1985451	1985800	+	23	NA	Intergenic	Intergenic	13987	FBgn0035300	FBgn0035300	FBtr0072845						NA
ManzF3Heat_REP2.mLb.clN_peak_9336	chrX	806013	806273	+	23	NA	promoter-TSS (FBgn0260855)	-promoter-TSS (FBgn0260855)	67	FBgn0260855	FBgn0260855	FBtr0310162						NA
ManzF3Heat_REP2.mLb.clN_peak_5433	chr3L	14111530	14111723	+	23	NA	TTS (FBgn0042630)	-TTS (FBgn0042630)	-3508	FBgn0036411	FBgn0036411	FBtr0330178						NA
ManzF3Heat_REP2.mLb.clN_peak_5343	chr3L	12902756	12903259	+	23	NA	promoter-TSS (FBgn0036324)	-promoter-TSS (FBgn0036324)	-270	FBgn0036324	FBgn0036324	FBtr0343628						NA
ManzF3Heat_REP2.mLb.clN_peak_5421	chr3L	14005156	14005389	+	23	NA	intron (FBgn0036398, intron 2 of 7)	-intron (FBgn0036398, intron 2 of 7)	3145	FBgn0036398	FBgn0036398	FBtr0333050						NA
ManzF3Heat_REP2.mLb.clN_peak_3732	chr2R	21193388	21193572	+	23	NA	promoter-TSS (FBgn0034602)	-promoter-TSS (FBgn0034602)	-91	FBgn0034602	FBgn0034602	FBtr0071583						NA
ManzF3Heat_REP2.mLb.clN_peak_1210	chr2L	14628711	14629259	+	23	NA	intron (FBgn0003016, intron 3 of 11)	-intron (FBgn0003016, intron 3 of 10)	11474	FBgn0000056	FBgn0000056	FBtr0343699						NA
ManzF3Heat_REP2.mLb.clN_peak_7824	chr3R	18053169	18053493	+	23	NA	promoter-TSS (FBgn0010389)	-promoter-TSS (FBgn0010389)	-3965	FBgn0010389	FBgn0010389	FBtr0083548						NA
ManzF3Heat_REP2.mLb.clN_peak_8354	chr3R	23933848	23934148	+	23	NA	promoter-TSS (FBgn0039130)	-promoter-TSS (FBgn0039130)	86	FBgn0039130	FBgn0039130	FBtr0084494						NA
ManzF3Heat_REP2.mLb.clN_peak_3316	chr2R	17134089	17134298	+	23	NA	promoter-TSS (FBgn0034198)	-promoter-TSS (FBgn0034198)	64	FBgn0034198	FBgn0034198	FBtr0345517						NA
ManzF3Heat_REP2.mLb.clN_peak_4686	chr3L	5365394	5366480	+	23	NA	promoter-TSS (FBgn0260856)	-promoter-TSS (FBgn0260856)	245	FBgn0035601	FBgn0035601	FBtr0077155						NA
ManzF3Heat_REP2.mLb.clN_peak_5819	chr3L	18029638	18029848	+	23	NA	intron (FBgn0000568, intron 3 of 7)	-intron (FBgn0000568, intron 1 of 5)	-3711	FBgn0000568	FBgn0000568	FBtr0306814						NA
ManzF3Heat_REP2.mLb.clN_peak_4072	chr2R	24599794	24599945	+	23	NA	promoter-TSS (FBgn0035033)	-promoter-TSS (FBgn0035033)	-72	FBgn0035032	FBgn0035032	FBtr0072339						NA
ManzF3Heat_REP2.mLb.clN_peak_4951	chr3L	8359022	8359343	+	23	NA	promoter-TSS (FBgn0001248)	-promoter-TSS (FBgn0001248)	-242	FBgn0001248	FBgn0001248	FBtr0114548						NA
ManzF3Heat_REP2.mLb.clN_peak_6216	chr3L	22075392	22076354	+	23	NA	promoter-TSS (FBgn0000100)	-promoter-TSS (FBgn0000100)	6	FBgn0000100	FBgn0000100	FBtr0334113						NA
ManzF3Heat_REP2.mLb.clN_peak_5175	chr3L	10988504	10989922	+	23	NA	intron (FBgn0013469, intron 2 of 2)	-intron (FBgn0013469, intron 2 of 2)	-10911	FBgn0267309	FBgn0267309	FBtr0346564						NA
ManzF3Heat_REP2.mLb.clN_peak_1445	chr2L	17501068	17501212	+	23	NA	promoter-TSS (FBgn0032646)	-promoter-TSS (FBgn0032646)	-34	FBgn0032646	FBgn0032646	FBtr0080994						NA
ManzF3Heat_REP2.mLb.clN_peak_4017	chr2R	24045265	24045490	+	23	NA	TTS (FBgn0034964)	-TTS (FBgn0034964)	1428	FBgn0011726	FBgn0011726	FBtr0072188						NA
ManzF3Heat_REP2.mLb.clN_peak_6151	chr3L	21484008	21484410	+	23	NA	TTS (FBgn0037085)	-TTS (FBgn0037085)	6377	FBgn0037085	FBgn0037085	FBtr0332718						NA
ManzF3Heat_REP2.mLb.clN_peak_1015	chr2L	12545820	12546774	+	23	NA	exon (FBgn0259176, exon 1 of 7)	-exon (FBgn0259176, exon 1 of 7)	3121	FBgn0261709	FBgn0261709	FBtr0303215						NA
ManzF3Heat_REP2.mLb.clN_peak_11128	chrX	19935299	19935496	+	23	NA	promoter-TSS (FBgn0263210)	-promoter-TSS (FBgn0263210)	-832	FBgn0263210	FBgn0263210	FBtr0307584						NA
ManzF3Heat_REP2.mLb.clN_peak_1663	chr2L	19958655	19959019	+	23	NA	promoter-TSS (FBgn0032833)	-promoter-TSS (FBgn0032833)	5	FBgn0032833	FBgn0032833	FBtr0332242						NA
ManzF3Heat_REP2.mLb.clN_peak_6084	chr3L	20922323	20923491	+	23	NA	Intergenic	Intergenic	-1158	FBgn0264550	FBgn0264550	FBtr0333281						NA
ManzF3Heat_REP2.mLb.clN_peak_5029	chr3L	9335549	9336070	+	23	NA	promoter-TSS (FBgn0035975)	-promoter-TSS (FBgn0035975)	120	FBgn0035975	FBgn0035975	FBtr0076435						NA
ManzF3Heat_REP2.mLb.clN_peak_2479	chr2R	8797629	8798740	+	23	NA	promoter-TSS (FBgn0024189)	-promoter-TSS (FBgn0024189)	-305	FBgn0024189	FBgn0024189	FBtr0339277						NA
ManzF3Heat_REP2.mLb.clN_peak_9504	chrX	2244792	2244931	+	23	NA	exon (FBgn0000810, exon 2 of 2)	-exon (FBgn0000810, exon 2 of 2)	-1370	FBgn0023523	FBgn0023523	FBtr0070397						NA
ManzF3Heat_REP2.mLb.clN_peak_5108	chr3L	10368989	10369378	+	23	NA	Intergenic	Intergenic	5164	FBgn0267668	FBgn0267668	FBtr0347140						NA
ManzF3Heat_REP2.mLb.clN_peak_11046	chrX	19187730	19188207	+	23	NA	promoter-TSS (FBgn0030993)	-promoter-TSS (FBgn0030993)	-67	FBgn0030993	FBgn0030993	FBtr0074669						NA
ManzF3Heat_REP2.mLb.clN_peak_2901	chr2R	13038741	13039079	+	23	NA	Intergenic	Intergenic	8346	FBgn0033788	FBgn0033788	FBtr0345360						NA
ManzF3Heat_REP2.mLb.clN_peak_6426	chr3L	27279195	27279838	+	23	NA	exon (FBgn0024804, exon 2 of 10)	-exon (FBgn0024804, exon 2 of 10)	200	FBgn0024804	FBgn0024804	FBtr0331782						NA
ManzF3Heat_REP2.mLb.clN_peak_10859	chrX	17291527	17292937	+	23	NA	promoter-TSS (FBgn0024238)	-promoter-TSS (FBgn0024238)	-563	FBgn0024238	FBgn0024238	FBtr0074441						NA
ManzF3Heat_REP2.mLb.clN_peak_8229	chr3R	22626924	22627191	+	23	NA	promoter-TSS (FBgn0020278)	-promoter-TSS (FBgn0020278)	-1740	FBgn0263452	FBgn0263452	FBtr0309305						NA
ManzF3Heat_REP2.mLb.clN_peak_3521	chr2R	19249546	19249985	+	23	NA	promoter-TSS (FBgn0004003)	-promoter-TSS (FBgn0004003)	370	FBgn0004003	FBgn0004003	FBtr0340470						NA
ManzF3Heat_REP2.mLb.clN_peak_10256	chrX	10356698	10357064	+	23	NA	TTS (FBgn0028331)	-TTS (FBgn0028331)	8756	FBgn0065046	FBgn0065046	FBtr0091641						NA
ManzF3Heat_REP2.mLb.clN_peak_5013	chr3L	8997326	8997503	+	23	NA	promoter-TSS (FBgn0035953)	-promoter-TSS (FBgn0035953)	-770	FBgn0035953	FBgn0035953	FBtr0333908						NA
ManzF3Heat_REP2.mLb.clN_peak_798	chr2L	9536950	9537063	+	23	NA	exon (FBgn0032123, exon 6 of 9)	-exon (FBgn0032123, exon 6 of 9)	2258	FBgn0032123	FBgn0032123	FBtr0079828						NA
ManzF3Heat_REP2.mLb.clN_peak_2010	chr2R	4728884	4729194	+	23	NA	promoter-TSS (FBgn0026401)	-promoter-TSS (FBgn0026401)	-22	FBgn0026401	FBgn0026401	FBtr0301454						NA
ManzF3Heat_REP2.mLb.clN_peak_6523	chr3R	4433856	4433979	+	23	NA	promoter-TSS (FBgn0037250)	-promoter-TSS (FBgn0037250)	-22	FBgn0037249	FBgn0037249	FBtr0346646						NA
ManzF3Heat_REP2.mLb.clN_peak_7776	chr3R	17534343	17534666	+	23	NA	promoter-TSS (FBgn0038515)	-promoter-TSS (FBgn0038515)	83	FBgn0038515	FBgn0038515	FBtr0321266						NA
ManzF3Heat_REP2.mLb.clN_peak_24	chr2L	346129	346920	+	23	NA	TTS (FBgn0004611)	-TTS (FBgn0004611)	-9139	FBgn0266907	FBgn0266907	FBtr0345774						NA
ManzF3Heat_REP2.mLb.clN_peak_7469	chr3R	13797939	13798362	+	23	NA	TTS (FBgn0051588)	-TTS (FBgn0051588)	120	FBgn0051331	FBgn0051331	FBtr0082836						NA
ManzF3Heat_REP2.mLb.clN_peak_8350	chr3R	23885733	23886910	+	23	NA	intron (FBgn0025574, intron 2 of 9)	-intron (FBgn0025574, intron 2 of 9)	3731	FBgn0025574	FBgn0025574	FBtr0112907						NA
ManzF3Heat_REP2.mLb.clN_peak_6069	chr3L	20733942	20734559	+	23	NA	intron (FBgn0037016, intron 1 of 2)	-intron (FBgn0037016, intron 1 of 2)	3659	FBgn0037016	FBgn0037016	FBtr0078245						NA
ManzF3Heat_REP2.mLb.clN_peak_11504	chrX	23393922	23394145	+	23	NA	Intergenic	Intergenic	102333	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF3Heat_REP2.mLb.clN_peak_9877	chrX	5880390	5880576	+	23	NA	promoter-TSS (FBgn0029819)	-promoter-TSS (FBgn0029819)	-336	FBgn0029820	FBgn0029820	FBtr0345313						NA
ManzF3Heat_REP2.mLb.clN_peak_558	chr2L	6794225	6794661	+	23	NA	exon (FBgn0015777, exon 1 of 7)	-exon (FBgn0015777, exon 1 of 7)	3751	FBgn0015777	FBgn0015777	FBtr0079381						NA
ManzF3Heat_REP2.mLb.clN_peak_2655	chr2R	10581648	10581819	+	23	NA	intron (FBgn0263102, intron 1 of 6)	-intron (FBgn0263102, intron 3 of 9)	-1953	FBgn0263102	FBgn0263102	FBtr0479799						NA
ManzF3Heat_REP2.mLb.clN_peak_436	chr2L	5303223	5303725	+	23	NA	intron (FBgn0016076, intron 1 of 2)	-intron (FBgn0016076, intron 1 of 2)	-2176	FBgn0016076	FBgn0016076	FBtr0346579						NA
ManzF3Heat_REP2.mLb.clN_peak_6085	chr3L	20930306	20931431	+	23	NA	intron (FBgn0011591, intron 4 of 6)	-intron (FBgn0011591, intron 4 of 6)	3042	FBgn0037035	FBgn0037035	FBtr0078266						NA
ManzF3Heat_REP2.mLb.clN_peak_3969	chr2R	23490230	23490862	+	23	NA	exon (FBgn0264339, exon 14 of 14)	-exon (FBgn0264339, exon 14 of 14)	-9105	FBgn0034869	FBgn0034869	FBtr0072056						NA
ManzF3Heat_REP2.mLb.clN_peak_6039	chr3L	20395527	20395727	+	23	NA	TTS (FBgn0028978)	-TTS (FBgn0028978)	224	FBgn0267237	FBgn0267237	FBtr0346407						NA
ManzF3Heat_REP2.mLb.clN_peak_6446	chr3R	315926	316350	+	23	NA	Intergenic	Intergenic	-250938	FBgn0267431	FBgn0267431	FBtr0392909						NA
ManzF3Heat_REP2.mLb.clN_peak_9627	chrX	3474549	3475274	+	23	NA	promoter-TSS (FBgn0029662)	-promoter-TSS (FBgn0029662)	-1461	FBgn0029662	FBgn0029662	FBtr0070527						NA
ManzF3Heat_REP2.mLb.clN_peak_8787	chr3R	29206716	29206927	+	23	NA	Intergenic	Intergenic	-2688	FBgn0039651	FBgn0039651	FBtr0085406						NA
ManzF3Heat_REP2.mLb.clN_peak_4263	chr3L	1007713	1008261	+	23	NA	promoter-TSS (FBgn0024277)	-promoter-TSS (FBgn0024277)	-3977	FBgn0024277	FBgn0024277	FBtr0072644						NA
ManzF3Heat_REP2.mLb.clN_peak_2200	chr2R	6673168	6673442	+	23	NA	promoter-TSS (FBgn0033088)	-promoter-TSS (FBgn0033088)	67	FBgn0033087	FBgn0033087	FBtr0302190						NA
ManzF3Heat_REP2.mLb.clN_peak_5106	chr3L	10352403	10352632	+	23	NA	intron (FBgn0267668, intron 2 of 2)	-intron (FBgn0267668, intron 2 of 2)	-11502	FBgn0267668	FBgn0267668	FBtr0347140						NA
ManzF3Heat_REP2.mLb.clN_peak_3303	chr2R	17027643	17027783	+	23	NA	promoter-TSS (FBgn0265540)	-promoter-TSS (FBgn0265540)	523	FBgn0023172	FBgn0023172	FBtr0340124						NA
ManzF3Heat_REP2.mLb.clN_peak_135	chr2L	1502632	1502944	+	23	NA	exon (FBgn0031344, exon 1 of 4)	-exon (FBgn0031344, exon 1 of 4)	116	FBgn0031344	FBgn0031344	FBtr0334820						NA
ManzF3Heat_REP2.mLb.clN_peak_3348	chr2R	17444200	17445026	+	23	NA	TTS (FBgn0034219)	-TTS (FBgn0034219)	325	FBgn0027506	FBgn0027506	FBtr0340213						NA
ManzF3Heat_REP2.mLb.clN_peak_11149	chrX	20073160	20073358	+	23	NA	Intergenic	Intergenic	-10553	FBgn0053517	FBgn0053517	FBtr0343171						NA
ManzF3Heat_REP2.mLb.clN_peak_10685	chrX	15319400	15319577	+	23	NA	promoter-TSS (FBgn0004924)	-promoter-TSS (FBgn0004924)	-1521	FBgn0266276	FBgn0266276	FBtr0343974						NA
ManzF3Heat_REP2.mLb.clN_peak_9555	chrX	2732010	2732516	+	23	NA	promoter-TSS (FBgn0024975)	-promoter-TSS (FBgn0024975)	-73	FBgn0250874	FBgn0250874	FBtr0347024						NA
ManzF3Heat_REP2.mLb.clN_peak_2940	chr2R	13437816	13437989	+	23	NA	promoter-TSS (FBgn0050509)	-promoter-TSS (FBgn0050509)	36	FBgn0050509	FBgn0050509	FBtr0087665						NA
ManzF3Heat_REP2.mLb.clN_peak_2590	chr2R	9988981	9989313	+	23	NA	promoter-TSS (FBgn0286784)	-promoter-TSS (FBgn0286784)	138	FBgn0266863	FBgn0266863	FBtr0345681						NA
ManzF3Heat_REP2.mLb.clN_peak_11382	chrX	22657105	22657871	+	23	NA	exon (FBgn0266348, exon 1 of 4)	-exon (FBgn0266348, exon 1 of 4)	164	FBgn0266348	FBgn0266348	FBtr0344073						NA
ManzF3Heat_REP2.mLb.clN_peak_8100	chr3R	21152466	21153242	+	23	NA	promoter-TSS (FBgn0264357)	-promoter-TSS (FBgn0264357)	-3508	FBgn0264357	FBgn0264357	FBtr0301588						NA
ManzF3Heat_REP2.mLb.clN_peak_11354	chrX	22479247	22479898	+	23	NA	intron (FBgn0031190, intron 2 of 3)	-intron (FBgn0031190, intron 2 of 3)	2785	FBgn0031190	FBgn0031190	FBtr0346429						NA
ManzF3Heat_REP2.mLb.clN_peak_2721	chr2R	11252259	11252374	+	23	NA	TTS (FBgn0026386)	-TTS (FBgn0026386)	1082	FBgn0033597	FBgn0033597	FBtr0088190						NA
ManzF3Heat_REP2.mLb.clN_peak_9102	chr4	66974	67330	+	23	NA	promoter-TSS (FBgn0017545)	-promoter-TSS (FBgn0017545)	55	FBgn0017545	FBgn0017545	FBtr0308296						NA
ManzF3Heat_REP2.mLb.clN_peak_9617	chrX	3377495	3377973	+	23	NA	intron (FBgn0266350, intron 2 of 3)	-intron (FBgn0262656, intron 2 of 2)	4575	FBgn0262656	FBgn0262656	FBtr0331605						NA
ManzF3Heat_REP2.mLb.clN_peak_9794	chrX	4959503	4959678	+	23	NA	TTS (FBgn0061196)	-TTS (FBgn0061196)	1538	FBgn0061196	FBgn0061196	FBtr0479779						NA
ManzF3Heat_REP2.mLb.clN_peak_4158	chr3L	128400	128765	+	23	NA	promoter-TSS (FBgn0020386)	-promoter-TSS (FBgn0020386)	-868	FBgn0020386	FBgn0020386	FBtr0333218						NA
ManzF3Heat_REP2.mLb.clN_peak_10897	chrX	17718966	17719221	+	23	NA	intron (FBgn0261570, intron 1 of 7)	-intron (FBgn0261570, intron 1 of 7)	-9440	FBgn0030864	FBgn0030864	FBtr0074475						NA
ManzF3Heat_REP2.mLb.clN_peak_11000	chrX	18700808	18700970	+	23	NA	Intergenic	Intergenic	-7847	FBgn0010383	FBgn0010383	FBtr0074610						NA
ManzF3Heat_REP2.mLb.clN_peak_8475	chr3R	25624628	25624741	+	23	NA	promoter-TSS (FBgn0039348)	-promoter-TSS (FBgn0039348)	-22	FBgn0039348	FBgn0039348	FBtr0300730						NA
ManzF3Heat_REP2.mLb.clN_peak_396	chr2L	4737317	4737462	+	23	NA	exon (FBgn0031627, exon 4 of 7)	-exon (FBgn0031627, exon 4 of 7)	-2931	FBgn0031626	FBgn0031626	FBtr0077419						NA
ManzF3Heat_REP2.mLb.clN_peak_10033	chrX	7601663	7601782	+	23	NA	Intergenic	Intergenic	-6706	FBgn0004198	FBgn0004198	FBtr0331733						NA
ManzF3Heat_REP2.mLb.clN_peak_1922	chr2L	22579045	22579602	+	23	NA	promoter-TSS (FBgn0040011)	-promoter-TSS (FBgn0040011)	-427	FBgn0040011	FBgn0040011	FBtr0302387						NA
ManzF3Heat_REP2.mLb.clN_peak_11314	chrX	21520058	21521163	+	23	NA	promoter-TSS (FBgn0266457)	-promoter-TSS (FBgn0266457)	435	FBgn0287603	FBgn0287603	FBtr0479951						NA
ManzF3Heat_REP2.mLb.clN_peak_10097	chrX	8419609	8420339	+	23	NA	intron (FBgn0261793, intron 3 of 10)	-intron (FBgn0261793, intron 3 of 9)	-1391	FBgn0261793	FBgn0261793	FBtr0333750						NA
ManzF3Heat_REP2.mLb.clN_peak_5132	chr3L	10674263	10674377	+	23	NA	intron (FBgn0010762, intron 1 of 8)	-intron (FBgn0010762, intron 2 of 9)	9581	FBgn0010762	FBgn0010762	FBtr0331574						NA
ManzF3Heat_REP2.mLb.clN_peak_7359	chr3R	12369000	12369586	+	23	NA	promoter-TSS (FBgn0001149)	-promoter-TSS (FBgn0001149)	-25	FBgn0001149	FBgn0001149	FBtr0100410						NA
ManzF3Heat_REP2.mLb.clN_peak_4198	chr3L	540298	540675	+	23	NA	promoter-TSS (FBgn0035140)	-promoter-TSS (FBgn0035140)	-452	FBgn0035140	FBgn0035140	FBtr0331785						NA
ManzF3Heat_REP2.mLb.clN_peak_2073	chr2R	5741676	5742458	+	23	NA	Intergenic	Intergenic	-12450	FBgn0022288	FBgn0022288	FBtr0335269						NA
ManzF3Heat_REP2.mLb.clN_peak_8104	chr3R	21187404	21187593	+	23	NA	intron (FBgn0264357, intron 7 of 12)	-intron (FBgn0264357, intron 7 of 12)	-19293	FBgn0260004	FBgn0260004	FBtr0333928						NA
ManzF3Heat_REP2.mLb.clN_peak_2285	chr2R	7247623	7248169	+	23	NA	Intergenic	Intergenic	-1265	FBgn0033153	FBgn0033153	FBtr0089049						NA
ManzF3Heat_REP2.mLb.clN_peak_298	chr2L	3534176	3534444	+	23	NA	Intergenic	Intergenic	3521	FBgn0031550	FBgn0031550	FBtr0077529						NA
ManzF3Heat_REP2.mLb.clN_peak_6137	chr3L	21381923	21383014	+	23	NA	promoter-TSS (FBgn0261258)	-promoter-TSS (FBgn0261258)	-33	FBgn0261258	FBgn0261258	FBtr0078346						NA
ManzF3Heat_REP2.mLb.clN_peak_3372	chr2R	17761020	17761380	+	23	NA	TTS (FBgn0022740)	-TTS (FBgn0022740)	260	FBgn0027572	FBgn0027572	FBtr0089548						NA
ManzF3Heat_REP2.mLb.clN_peak_2148	chr2R	6195596	6196400	+	23	NA	promoter-TSS (FBgn0262867)	-promoter-TSS (FBgn0262867)	11	FBgn0262867	FBgn0262867	FBtr0307501						NA
ManzF3Heat_REP2.mLb.clN_peak_2461	chr2R	8632590	8632710	+	23	NA	promoter-TSS (FBgn0033317)	-promoter-TSS (FBgn0033317)	-813	FBgn0033317	FBgn0033317	FBtr0088727						NA
ManzF3Heat_REP2.mLb.clN_peak_5757	chr3L	17500355	17500725	+	23	NA	intron (FBgn0036732, intron 1 of 7)	-intron (FBgn0036732, intron 2 of 8)	5660	FBgn0052185	FBgn0052185	FBtr0075174						NA
ManzF3Heat_REP2.mLb.clN_peak_5350	chr3L	13041740	13041861	+	23	NA	promoter-TSS (FBgn0011284)	-promoter-TSS (FBgn0011284)	44	FBgn0011284	FBgn0011284	FBtr0346390						NA
ManzF3Heat_REP2.mLb.clN_peak_4235	chr3L	773264	773441	+	23	NA	Intergenic	Intergenic	2989	FBgn0052481	FBgn0052481	FBtr0072580						NA
ManzF3Heat_REP2.mLb.clN_peak_5392	chr3L	13502602	13502851	+	23	NA	promoter-TSS (FBgn0036374)	-promoter-TSS (FBgn0036374)	19	FBgn0036374	FBgn0036374	FBtr0075812						NA
ManzF3Heat_REP2.mLb.clN_peak_6161	chr3L	21574445	21574858	+	23	NA	promoter-TSS (FBgn0052441)	-promoter-TSS (FBgn0052441)	520	FBgn0052441	FBgn0052441	FBtr0300058						NA
ManzF3Heat_REP2.mLb.clN_peak_175	chr2L	1974248	1974409	+	23	NA	exon (FBgn0267972, exon 1 of 4)	-exon (FBgn0267972, exon 1 of 4)	371	FBgn0267972	FBgn0267972	FBtr0334758						NA
ManzF3Heat_REP2.mLb.clN_peak_7662	chr3R	16050835	16051546	+	23	NA	promoter-TSS (FBgn0027948)	-promoter-TSS (FBgn0027948)	-688	FBgn0027948	FBgn0027948	FBtr0304803						NA
ManzF3Heat_REP2.mLb.clN_peak_2668	chr2R	10733645	10733881	+	23	NA	intron (FBgn0033544, intron 1 of 5)	-intron (FBgn0033544, intron 2 of 5)	-1618	FBgn0033544	FBgn0033544	FBtr0339465						NA
ManzF3Heat_REP2.mLb.clN_peak_11360	chrX	22507488	22508041	+	23	NA	TTS (FBgn0027279)	-TTS (FBgn0027279)	7127	FBgn0264677	FBgn0264677	FBtr0345927						NA
ManzF3Heat_REP2.mLb.clN_peak_9496	chrX	2145744	2146137	+	23	NA	intron (FBgn0004654, intron 2 of 2)	-intron (FBgn0004654, intron 2 of 2)	577	FBgn0004654	FBgn0004654	FBtr0331410						NA
ManzF3Heat_REP2.mLb.clN_peak_650	chr2L	7790321	7790650	+	23	NA	promoter-TSS (FBgn0031948)	-promoter-TSS (FBgn0031948)	72	FBgn0031948	FBgn0031948	FBtr0343406						NA
ManzF3Heat_REP2.mLb.clN_peak_3830	chr2R	22143861	22144567	+	23	NA	intron (FBgn0000008, intron 2 of 8)	-intron (FBgn0000008, intron 2 of 9)	4279	FBgn0029084	FBgn0029084	FBtr0071766						NA
ManzF3Heat_REP2.mLb.clN_peak_10900	chrX	17736215	17736541	+	23	NA	intron (FBgn0261570, intron 3 of 7)	-intron (FBgn0261570, intron 3 of 7)	-2035	FBgn0261570	FBgn0261570	FBtr0302834						NA
ManzF3Heat_REP2.mLb.clN_peak_11493	chrX	23352908	23353418	+	23	NA	Intergenic	Intergenic	61463	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF3Heat_REP2.mLb.clN_peak_10707	chrX	15592914	15593819	+	23	NA	promoter-TSS (FBgn0030662)	-promoter-TSS (FBgn0030662)	-215	FBgn0030662	FBgn0030662	FBtr0074064						NA
ManzF3Heat_REP2.mLb.clN_peak_1741	chr2L	20787545	20787935	+	23	NA	promoter-TSS (FBgn0032884)	-promoter-TSS (FBgn0032884)	84	FBgn0032884	FBgn0032884	FBtr0081414						NA
ManzF3Heat_REP2.mLb.clN_peak_2658	chr2R	10601272	10601958	+	23	NA	intron (FBgn0263102, intron 1 of 7)	-intron (FBgn0263102, intron 3 of 9)	-16047	FBgn0033538	FBgn0033538	FBtr0088284						NA
ManzF3Heat_REP2.mLb.clN_peak_101	chr2L	1120400	1120881	+	23	NA	intron (FBgn0016926, intron 2 of 4)	-intron (FBgn0016926, intron 2 of 4)	-1609	FBgn0016926	FBgn0016926	FBtr0077987						NA
ManzF3Heat_REP2.mLb.clN_peak_8813	chr3R	29457375	29457556	+	23	NA	promoter-TSS (FBgn0004369)	-promoter-TSS (FBgn0004369)	1813	FBgn0264792	FBgn0264792	FBtr0334340						NA
ManzF3Heat_REP2.mLb.clN_peak_7736	chr3R	17053609	17054290	+	23	NA	promoter-TSS (FBgn0020493)	-promoter-TSS (FBgn0020493)	-58	FBgn0020493	FBgn0020493	FBtr0479820						NA
