PeakID (cmd=annotatePeaks.pl ManzF6HSan_REP3.mLb.clN_peaks.broadPeak Dmel_FB_r6_v46_chr_andMt.fasta -gid -gtf Dmel_FB_r6_v46_chr_andMt.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
ManzF6HSan_REP3.mLb.clN_peak_10903	chr3R	12221229	12221796	+	51	NA	promoter-TSS (FBgn0038000)	-promoter-TSS (FBgn0038000)	-48	FBgn0037999	FBgn0037999	FBtr0082623						NA
ManzF6HSan_REP3.mLb.clN_peak_1825	chr2L	16587904	16588287	+	51	NA	intron (FBgn0259735, intron 2 of 4)	-intron (FBgn0259735, intron 2 of 4)	-13732	FBgn0259735	FBgn0259735	FBtr0335497						NA
ManzF6HSan_REP3.mLb.clN_peak_5180	chr2R	16551950	16553032	+	51	NA	exon (FBgn0034135, exon 1 of 10)	-exon (FBgn0034135, exon 1 of 10)	-2096	FBgn0034135	FBgn0034135	FBtr0087094						NA
ManzF6HSan_REP3.mLb.clN_peak_16714	chrX	19187709	19188231	+	51	NA	promoter-TSS (FBgn0030993)	-promoter-TSS (FBgn0030993)	-65	FBgn0030993	FBgn0030993	FBtr0074669						NA
ManzF6HSan_REP3.mLb.clN_peak_9874	chr3R	4748585	4749525	+	51	NA	promoter-TSS (FBgn0026620)	-promoter-TSS (FBgn0026620)	1	FBgn0026620	FBgn0026620	FBtr0302615						NA
ManzF6HSan_REP3.mLb.clN_peak_12199	chr3R	22816310	22817068	+	51	NA	promoter-TSS (FBgn0039028)	-promoter-TSS (FBgn0039028)	-511	FBgn0039028	FBgn0039028	FBtr0339139						NA
ManzF6HSan_REP3.mLb.clN_peak_14890	chrX	7010869	7011677	+	51	NA	promoter-TSS (FBgn0052736)	-promoter-TSS (FBgn0052736)	-84	FBgn0052736	FBgn0052736	FBtr0071008						NA
ManzF6HSan_REP3.mLb.clN_peak_14935	chrX	7334100	7338225	+	51	NA	intron (FBgn0029941, intron 2 of 6)	-intron (FBgn0029941, intron 2 of 6)	-1190	FBgn0026144	FBgn0026144	FBtr0329894						NA
ManzF6HSan_REP3.mLb.clN_peak_1263	chr2L	10002172	10003175	+	51	NA	promoter-TSS (FBgn0051755)	-promoter-TSS (FBgn0051755)	63	FBgn0051755	FBgn0051755	FBtr0308122						NA
ManzF6HSan_REP3.mLb.clN_peak_10995	chr3R	13088505	13088992	+	51	NA	promoter-TSS (FBgn0038118)	-promoter-TSS (FBgn0038118)	97	FBgn0038118	FBgn0038118	FBtr0082712						NA
ManzF6HSan_REP3.mLb.clN_peak_12249	chr3R	23355663	23356977	+	51	NA	promoter-TSS (FBgn0024509)	-promoter-TSS (FBgn0024509)	42	FBgn0024509	FBgn0024509	FBtr0346160						NA
ManzF6HSan_REP3.mLb.clN_peak_8779	chr3L	17621519	17622320	+	51	NA	promoter-TSS (FBgn0036741)	-promoter-TSS (FBgn0036741)	95	FBgn0036741	FBgn0036741	FBtr0333121						NA
ManzF6HSan_REP3.mLb.clN_peak_6643	chr3L	211201	213053	+	51	NA	promoter-TSS (FBgn0035111)	-promoter-TSS (FBgn0035111)	560	FBgn0035110	FBgn0035110	FBtr0072527						NA
ManzF6HSan_REP3.mLb.clN_peak_10701	chr3R	10261355	10262901	+	51	NA	promoter-TSS (FBgn0040078)	-promoter-TSS (FBgn0040078)	5	FBgn0040078	FBgn0040078	FBtr0082226						NA
ManzF6HSan_REP3.mLb.clN_peak_10387	chr3R	8243643	8244778	+	51	NA	promoter-TSS (FBgn0037556)	-promoter-TSS (FBgn0037556)	155	FBgn0042182	FBgn0042182	FBtr0345323						NA
ManzF6HSan_REP3.mLb.clN_peak_4487	chr2R	12936033	12936982	+	51	NA	promoter-TSS (FBgn0033785)	-promoter-TSS (FBgn0033785)	28	FBgn0033784	FBgn0033784	FBtr0087805						NA
ManzF6HSan_REP3.mLb.clN_peak_14859	chrX	6824239	6824473	+	51	NA	promoter-TSS (FBgn0263968)	-promoter-TSS (FBgn0263968)	-140	FBgn0263968	FBgn0263968	FBtr0343321						NA
ManzF6HSan_REP3.mLb.clN_peak_3862	chr2R	10045533	10046015	+	51	NA	TTS (FBgn0265341)	-TTS (FBgn0265341)	1739	FBgn0265341	FBgn0265341	FBtr0344611						NA
ManzF6HSan_REP3.mLb.clN_peak_11590	chr3R	18473720	18474505	+	51	NA	intron (FBgn0004652, intron 2 of 8)	-intron (FBgn0004652, intron 2 of 7)	-61238	FBgn0051122	FBgn0051122	FBtr0474142						NA
ManzF6HSan_REP3.mLb.clN_peak_8631	chr3L	16574353	16575080	+	50	NA	promoter-TSS (FBgn0262732)	-promoter-TSS (FBgn0262732)	71	FBgn0262732	FBgn0262732	FBtr0330137						NA
ManzF6HSan_REP3.mLb.clN_peak_7583	chr3L	7833076	7834067	+	50	NA	promoter-TSS (FBgn0016694)	-promoter-TSS (FBgn0016694)	21977	FBgn0016694	FBgn0016694	FBtr0332083						NA
ManzF6HSan_REP3.mLb.clN_peak_2179	chr2L	20090940	20091822	+	50	NA	promoter-TSS (FBgn0032846)	-promoter-TSS (FBgn0032846)	-33	FBgn0032845	FBgn0032845	FBtr0331618						NA
ManzF6HSan_REP3.mLb.clN_peak_7557	chr3L	7681250	7681437	+	50	NA	exon (FBgn0261788, exon 16 of 21)	-exon (FBgn0261788, exon 16 of 21)	14311	FBgn0265084	FBgn0265084	FBtr0336853						NA
ManzF6HSan_REP3.mLb.clN_peak_5590	chr2R	18947008	18947446	+	50	NA	promoter-TSS (FBgn0034408)	-promoter-TSS (FBgn0034408)	-90	FBgn0034408	FBgn0034408	FBtr0344564						NA
ManzF6HSan_REP3.mLb.clN_peak_12506	chr3R	25221500	25222017	+	50	NA	TTS (FBgn0051103)	-TTS (FBgn0051103)	169	FBgn0039293	FBgn0039293	FBtr0084808						NA
ManzF6HSan_REP3.mLb.clN_peak_424	chr2L	3530284	3530435	+	50	NA	promoter-TSS (FBgn0031550)	-promoter-TSS (FBgn0031550)	-42	FBgn0031549	FBgn0031549	FBtr0301590						NA
ManzF6HSan_REP3.mLb.clN_peak_15882	chrX	13752773	13753634	+	50	NA	intron (FBgn0030520, intron 1 of 3)	-intron (FBgn0030520, intron 1 of 3)	-2119	FBgn0264381	FBgn0264381	FBtr0332276						NA
ManzF6HSan_REP3.mLb.clN_peak_14045	chrX	1938415	1941228	+	50	NA	promoter-TSS (FBgn0023521)	-promoter-TSS (FBgn0023521)	219	FBgn0023520	FBgn0023520	FBtr0070349						NA
ManzF6HSan_REP3.mLb.clN_peak_2385	chr2L	21430883	21431019	+	50	NA	promoter-TSS (FBgn0053907)	-promoter-TSS (FBgn0053907)	696	FBgn0053806	FBgn0053806	FBtr0091810						NA
ManzF6HSan_REP3.mLb.clN_peak_7616	chr3L	8058511	8058837	+	50	NA	promoter-TSS (FBgn0026263)	-promoter-TSS (FBgn0026263)	1173	FBgn0267528	FBgn0267528	FBtr0346916						NA
ManzF6HSan_REP3.mLb.clN_peak_4419	chr2R	12514669	12515402	+	50	NA	promoter-TSS (FBgn0033750)	-promoter-TSS (FBgn0033750)	-340	FBgn0033750	FBgn0033750	FBtr0087939						NA
ManzF6HSan_REP3.mLb.clN_peak_7202	chr3L	4062115	4062596	+	50	NA	promoter-TSS (FBgn0000449)	-promoter-TSS (FBgn0000449)	63	FBgn0000449	FBgn0000449	FBtr0073205						NA
ManzF6HSan_REP3.mLb.clN_peak_2405	chr2L	21676578	21679381	+	50	NA	promoter-TSS (FBgn0032957)	-promoter-TSS (FBgn0032957)	-449	FBgn0032957	FBgn0032957	FBtr0332967						NA
ManzF6HSan_REP3.mLb.clN_peak_10327	chr3R	7911375	7911828	+	50	NA	TTS (FBgn0014930)	-TTS (FBgn0014930)	178	FBgn0004901	FBgn0004901	FBtr0304705						NA
ManzF6HSan_REP3.mLb.clN_peak_2871	chr2R	5754489	5755051	+	50	NA	exon (FBgn0022288, exon 1 of 1)	-exon (FBgn0022288, exon 1 of 1)	253	FBgn0022288	FBgn0022288	FBtr0335269						NA
ManzF6HSan_REP3.mLb.clN_peak_2397	chr2L	21622781	21624193	+	50	NA	exon (FBgn0032955, exon 1 of 8)	-exon (FBgn0032955, exon 1 of 8)	593	FBgn0032955	FBgn0032955	FBtr0345685						NA
ManzF6HSan_REP3.mLb.clN_peak_12439	chr3R	24813400	24814466	+	50	NA	promoter-TSS (FBgn0027539)	-promoter-TSS (FBgn0027539)	79	FBgn0027539	FBgn0027539	FBtr0331697						NA
ManzF6HSan_REP3.mLb.clN_peak_2180	chr2L	20093835	20094475	+	50	NA	promoter-TSS (FBgn0032848)	-promoter-TSS (FBgn0032848)	183	FBgn0032848	FBgn0032848	FBtr0081335						NA
ManzF6HSan_REP3.mLb.clN_peak_10679	chr3R	10100335	10100825	+	50	NA	TTS (FBgn0028734)	-TTS (FBgn0028734)	6819	FBgn0263413	FBgn0263413	FBtr0346908						NA
ManzF6HSan_REP3.mLb.clN_peak_8554	chr3L	16128318	16130168	+	50	NA	promoter-TSS (FBgn0011016)	-promoter-TSS (FBgn0011016)	-374	FBgn0011016	FBgn0011016	FBtr0075453						NA
ManzF6HSan_REP3.mLb.clN_peak_7759	chr3L	8912389	8914126	+	50	NA	promoter-TSS (FBgn0266757)	-promoter-TSS (FBgn0266757)	715	FBgn0035936	FBgn0035936	FBtr0076508						NA
ManzF6HSan_REP3.mLb.clN_peak_11189	chr3R	14885774	14886636	+	50	NA	promoter-TSS (FBgn0067628)	-promoter-TSS (FBgn0067628)	41	FBgn0038269	FBgn0038269	FBtr0346063						NA
ManzF6HSan_REP3.mLb.clN_peak_6583	chr2R	25084229	25084561	+	50	NA	promoter-TSS (FBgn0004919)	-promoter-TSS (FBgn0004919)	-48	FBgn0004919	FBgn0004919	FBtr0306330						NA
ManzF6HSan_REP3.mLb.clN_peak_5471	chr2R	18341816	18343382	+	50	NA	intron (FBgn0285917, intron 1 of 12)	-intron (FBgn0285917, intron 1 of 12)	14697	FBgn0285917	FBgn0285917	FBtr0301550						NA
ManzF6HSan_REP3.mLb.clN_peak_11320	chr3R	16049198	16049659	+	50	NA	promoter-TSS (FBgn0038396)	-promoter-TSS (FBgn0038396)	-7	FBgn0024222	FBgn0024222	FBtr0304804						NA
ManzF6HSan_REP3.mLb.clN_peak_13651	chrX	141625	142477	+	50	NA	promoter-TSS (FBgn0284435)	-promoter-TSS (FBgn0284435)	146	FBgn0267029	FBgn0267029	FBtr0345997						NA
ManzF6HSan_REP3.mLb.clN_peak_14512	chrX	4615413	4617648	+	50	NA	Intergenic	Intergenic	-1034	FBgn0003053	FBgn0003053	FBtr0100265						NA
ManzF6HSan_REP3.mLb.clN_peak_10860	chr3R	11818630	11820815	+	50	NA	promoter-TSS (FBgn0259139)	-promoter-TSS (FBgn0259139)	123	FBgn0019624	FBgn0019624	FBtr0347553						NA
ManzF6HSan_REP3.mLb.clN_peak_1784	chr2L	16256975	16258783	+	50	NA	promoter-TSS (FBgn0028515)	-promoter-TSS (FBgn0028515)	-126	FBgn0028515	FBgn0028515	FBtr0331443						NA
ManzF6HSan_REP3.mLb.clN_peak_16890	chrX	20488441	20489868	+	50	NA	intron (FBgn0031118, intron 1 of 13)	-intron (FBgn0031118, intron 3 of 13)	2033	FBgn0031118	FBgn0031118	FBtr0340405						NA
ManzF6HSan_REP3.mLb.clN_peak_5581	chr2R	18905161	18905536	+	50	NA	intron (FBgn0034408, intron 2 of 6)	-intron (FBgn0034408, intron 3 of 7)	5919	FBgn0086022	FBgn0086022	FBtr0114298						NA
ManzF6HSan_REP3.mLb.clN_peak_7653	chr3L	8308497	8309526	+	50	NA	promoter-TSS (FBgn0035871)	-promoter-TSS (FBgn0035871)	-70	FBgn0035871	FBgn0035871	FBtr0076712						NA
ManzF6HSan_REP3.mLb.clN_peak_11089	chr3R	14050905	14052013	+	50	NA	Intergenic	Intergenic	-5486	FBgn0038197	FBgn0038197	FBtr0346723						NA
ManzF6HSan_REP3.mLb.clN_peak_5979	chr2R	21690907	21691805	+	50	NA	promoter-TSS (FBgn0050290)	-promoter-TSS (FBgn0050290)	61	FBgn0050290	FBgn0050290	FBtr0342959						NA
ManzF6HSan_REP3.mLb.clN_peak_9307	chr3L	21584828	21585128	+	50	NA	Intergenic	Intergenic	-1850	FBgn0261953	FBgn0261953	FBtr0333468						NA
ManzF6HSan_REP3.mLb.clN_peak_13928	chrX	1321084	1323136	+	50	NA	promoter-TSS (FBgn0004650)	-promoter-TSS (FBgn0004650)	252	FBgn0025641	FBgn0025641	FBtr0342731						NA
ManzF6HSan_REP3.mLb.clN_peak_13006	chr3R	30014029	30015492	+	50	NA	TTS (FBgn0039738)	-TTS (FBgn0039738)	405	FBgn0039737	FBgn0039737	FBtr0085603						NA
ManzF6HSan_REP3.mLb.clN_peak_11137	chr3R	14557525	14558439	+	50	NA	promoter-TSS (FBgn0038237)	-promoter-TSS (FBgn0038237)	-1884	FBgn0038237	FBgn0038237	FBtr0300330						NA
ManzF6HSan_REP3.mLb.clN_peak_14902	chrX	7102156	7102364	+	50	NA	promoter-TSS (FBgn0029935)	-promoter-TSS (FBgn0029935)	40	FBgn0029935	FBgn0029935	FBtr0071020						NA
ManzF6HSan_REP3.mLb.clN_peak_13766	chrX	646115	647890	+	50	NA	promoter-TSS (FBgn0025638)	-promoter-TSS (FBgn0025638)	-302	FBgn0025638	FBgn0025638	FBtr0343564						NA
ManzF6HSan_REP3.mLb.clN_peak_11583	chr3R	18436618	18437220	+	50	NA	intron (FBgn0004652, intron 2 of 7)	-intron (FBgn0004652, intron 2 of 7)	-24045	FBgn0051122	FBgn0051122	FBtr0474142						NA
ManzF6HSan_REP3.mLb.clN_peak_15558	chrX	11452887	11454946	+	50	NA	promoter-TSS (FBgn0030301)	-promoter-TSS (FBgn0030301)	422	FBgn0262740	FBgn0262740	FBtr0300733						NA
ManzF6HSan_REP3.mLb.clN_peak_15252	chrX	9466292	9466862	+	50	NA	intron (FBgn0261260, intron 2 of 14)	-intron (FBgn0261260, intron 2 of 14)	-20365	FBgn0266050	FBgn0266050	FBtr0343372						NA
ManzF6HSan_REP3.mLb.clN_peak_8968	chr3L	19234991	19235576	+	50	NA	promoter-TSS (FBgn0016797)	-promoter-TSS (FBgn0016797)	-1077	FBgn0053647	FBgn0053647	FBtr0091624						NA
ManzF6HSan_REP3.mLb.clN_peak_987	chr2L	7991458	7991814	+	50	NA	promoter-TSS (FBgn0031969)	-promoter-TSS (FBgn0031969)	1580	FBgn0031969	FBgn0031969	FBtr0300183						NA
ManzF6HSan_REP3.mLb.clN_peak_8216	chr3L	12734403	12735608	+	50	NA	promoter-TSS (FBgn0014007)	-promoter-TSS (FBgn0014007)	60	FBgn0014007	FBgn0014007	FBtr0075914						NA
ManzF6HSan_REP3.mLb.clN_peak_17091	chrX	23022954	23024244	+	50	NA	exon (FBgn0265767, exon 1 of 8)	-exon (FBgn0265767, exon 1 of 8)	701	FBgn0265767	FBgn0265767	FBtr0340198						NA
ManzF6HSan_REP3.mLb.clN_peak_16330	chrX	16829985	16830412	+	50	NA	intron (FBgn0030797, intron 1 of 3)	-intron (FBgn0030797, intron 1 of 2)	5322	FBgn0284222	FBgn0284222	FBtr0452121						NA
ManzF6HSan_REP3.mLb.clN_peak_320	chr2L	2765388	2766452	+	50	NA	promoter-TSS (FBgn0031458)	-promoter-TSS (FBgn0031458)	-255	FBgn0031457	FBgn0031457	FBtr0335129						NA
ManzF6HSan_REP3.mLb.clN_peak_5610	chr2R	19141537	19143204	+	50	NA	intron (FBgn0000578, intron 2 of 10)	-intron (FBgn0000578, intron 1 of 9)	738	FBgn0000578	FBgn0000578	FBtr0340450						NA
ManzF6HSan_REP3.mLb.clN_peak_10884	chr3R	11967089	11968636	+	50	NA	promoter-TSS (FBgn0260742)	-promoter-TSS (FBgn0260742)	154	FBgn0260743	FBgn0260743	FBtr0334153						NA
ManzF6HSan_REP3.mLb.clN_peak_4630	chr2R	13554022	13554310	+	50	NA	promoter-TSS (FBgn0014877)	-promoter-TSS (FBgn0014877)	89	FBgn0014877	FBgn0014877	FBtr0087675						NA
ManzF6HSan_REP3.mLb.clN_peak_5260	chr2R	17015237	17016126	+	50	NA	TTS (FBgn0034181)	-TTS (FBgn0034181)	213	FBgn0034180	FBgn0034180	FBtr0087019						NA
ManzF6HSan_REP3.mLb.clN_peak_5426	chr2R	18094367	18095495	+	50	NA	promoter-TSS (FBgn0034300)	-promoter-TSS (FBgn0034300)	-31	FBgn0034299	FBgn0034299	FBtr0329995						NA
ManzF6HSan_REP3.mLb.clN_peak_7196	chr3L	4003384	4003842	+	50	NA	exon (FBgn0035482, exon 1 of 3)	-exon (FBgn0035482, exon 1 of 3)	139	FBgn0035482	FBgn0035482	FBtr0289977						NA
ManzF6HSan_REP3.mLb.clN_peak_14193	chrX	2684756	2685655	+	50	NA	promoter-TSS (FBgn0003068)	-promoter-TSS (FBgn0003068)	-375	FBgn0003068	FBgn0003068	FBtr0332311						NA
ManzF6HSan_REP3.mLb.clN_peak_10653	chr3R	9985607	9987018	+	50	NA	promoter-TSS (FBgn0037770)	-promoter-TSS (FBgn0037770)	-252	FBgn0037770	FBgn0037770	FBtr0333687						NA
ManzF6HSan_REP3.mLb.clN_peak_3157	chr2R	7049640	7049983	+	50	NA	promoter-TSS (FBgn0016032)	-promoter-TSS (FBgn0016032)	573	FBgn0016032	FBgn0016032	FBtr0336873						NA
ManzF6HSan_REP3.mLb.clN_peak_16882	chrX	20393545	20394418	+	50	NA	promoter-TSS (FBgn0031106)	-promoter-TSS (FBgn0031106)	-230	FBgn0031106	FBgn0031106	FBtr0077330						NA
ManzF6HSan_REP3.mLb.clN_peak_11862	chr3R	20783669	20784465	+	50	NA	intron (FBgn0038826, intron 1 of 12)	-intron (FBgn0038826, intron 2 of 11)	-5919	FBgn0038826	FBgn0038826	FBtr0334713						NA
ManzF6HSan_REP3.mLb.clN_peak_10168	chr3R	6367036	6369387	+	50	NA	promoter-TSS (FBgn0037439)	-promoter-TSS (FBgn0037439)	-22	FBgn0261641	FBgn0261641	FBtr0303013						NA
ManzF6HSan_REP3.mLb.clN_peak_14843	chrX	6726953	6727395	+	50	NA	promoter-TSS (FBgn0029896)	-promoter-TSS (FBgn0029896)	3359	FBgn0029896	FBgn0029896	FBtr0340265						NA
ManzF6HSan_REP3.mLb.clN_peak_437	chr2L	3646077	3646264	+	50	NA	promoter-TSS (FBgn0000721)	-promoter-TSS (FBgn0000721)	-14016	FBgn0000721	FBgn0000721	FBtr0089312						NA
ManzF6HSan_REP3.mLb.clN_peak_5866	chr2R	21045988	21046599	+	50	NA	Intergenic	Intergenic	10904	FBgn0003391	FBgn0003391	FBtr0071546						NA
ManzF6HSan_REP3.mLb.clN_peak_16121	chrX	15592902	15594736	+	50	NA	promoter-TSS (FBgn0030662)	-promoter-TSS (FBgn0030662)	-668	FBgn0030662	FBgn0030662	FBtr0074064						NA
ManzF6HSan_REP3.mLb.clN_peak_8910	chr3L	18818999	18821854	+	50	NA	promoter-TSS (FBgn0036815)	-promoter-TSS (FBgn0036815)	249	FBgn0036814	FBgn0036814	FBtr0332801						NA
ManzF6HSan_REP3.mLb.clN_peak_13366	chr4	227707	228116	+	50	NA	promoter-TSS (FBgn0039896)	-promoter-TSS (FBgn0039896)	-11	FBgn0039896	FBgn0039896	FBtr0089115						NA
ManzF6HSan_REP3.mLb.clN_peak_168	chr2L	1102079	1102716	+	50	NA	TTS (FBgn0261938)	-TTS (FBgn0261938)	107	FBgn0031299	FBgn0031299	FBtr0332571						NA
ManzF6HSan_REP3.mLb.clN_peak_1729	chr2L	14663149	14663398	+	50	NA	intron (FBgn0003016, intron 1 of 11)	-intron (FBgn0003016, intron 1 of 10)	26067	FBgn0003016	FBgn0003016	FBtr0301496						NA
ManzF6HSan_REP3.mLb.clN_peak_5004	chr2R	15511599	15512730	+	50	NA	exon (FBgn0034025, exon 2 of 4)	-exon (FBgn0034025, exon 2 of 4)	-1403	FBgn0034025	FBgn0034025	FBtr0340001						NA
ManzF6HSan_REP3.mLb.clN_peak_15125	chrX	8591285	8592868	+	50	NA	promoter-TSS (FBgn0025864)	-promoter-TSS (FBgn0025864)	45	FBgn0025864	FBgn0025864	FBtr0343356						NA
ManzF6HSan_REP3.mLb.clN_peak_14952	chrX	7580602	7581801	+	50	NA	Intergenic	Intergenic	4930	FBgn0029952	FBgn0029952	FBtr0071081						NA
ManzF6HSan_REP3.mLb.clN_peak_11664	chr3R	19153095	19153773	+	50	NA	TTS (FBgn0038683)	-TTS (FBgn0038683)	252	FBgn0038682	FBgn0038682	FBtr0083751						NA
ManzF6HSan_REP3.mLb.clN_peak_3412	chr2R	8158359	8158559	+	50	NA	promoter-TSS (FBgn0050297)	-promoter-TSS (FBgn0050297)	4	FBgn0050297	FBgn0050297	FBtr0088787						NA
ManzF6HSan_REP3.mLb.clN_peak_150	chr2L	1007591	1008283	+	50	NA	TTS (FBgn0031294)	-TTS (FBgn0031294)	-11722	FBgn0287617	FBgn0287617	FBtr0479958						NA
ManzF6HSan_REP3.mLb.clN_peak_2820	chr2R	5493883	5497044	+	50	NA	exon (FBgn0050440, exon 1 of 8)	-exon (FBgn0050440, exon 1 of 8)	398	FBgn0050440	FBgn0050440	FBtr0086076						NA
ManzF6HSan_REP3.mLb.clN_peak_2338	chr2L	21143085	21143610	+	50	NA	promoter-TSS (FBgn0023388)	-promoter-TSS (FBgn0023388)	118	FBgn0032919	FBgn0032919	FBtr0081468						NA
ManzF6HSan_REP3.mLb.clN_peak_16119	chrX	15582578	15584046	+	50	NA	promoter-TSS (FBgn0030659)	-promoter-TSS (FBgn0030659)	153	FBgn0030660	FBgn0030660	FBtr0340344						NA
ManzF6HSan_REP3.mLb.clN_peak_5629	chr2R	19275421	19275704	+	50	NA	promoter-TSS (FBgn0003254)	-promoter-TSS (FBgn0003254)	-170	FBgn0003254	FBgn0003254	FBtr0330058						NA
ManzF6HSan_REP3.mLb.clN_peak_10330	chr3R	7919898	7921329	+	50	NA	promoter-TSS (FBgn0037531)	-promoter-TSS (FBgn0037531)	182	FBgn0002542	FBgn0002542	FBtr0081758						NA
ManzF6HSan_REP3.mLb.clN_peak_15188	chrX	9067775	9068081	+	50	NA	promoter-TSS (FBgn0030077)	-promoter-TSS (FBgn0030077)	-1813	FBgn0267098	FBgn0267098	FBtr0346174						NA
ManzF6HSan_REP3.mLb.clN_peak_6342	chr2R	23856561	23857647	+	50	NA	promoter-TSS (FBgn0034918)	-promoter-TSS (FBgn0034918)	-168	FBgn0034918	FBgn0034918	FBtr0072233						NA
ManzF6HSan_REP3.mLb.clN_peak_12054	chr3R	21852983	21854439	+	50	NA	intron (FBgn0015229, intron 1 of 1)	-intron (FBgn0015229, intron 1 of 1)	2555	FBgn0015229	FBgn0015229	FBtr0084157						NA
ManzF6HSan_REP3.mLb.clN_peak_3540	chr2R	8670364	8670617	+	50	NA	promoter-TSS (FBgn0263120)	-promoter-TSS (FBgn0263120)	-5080	FBgn0263120	FBgn0263120	FBtr0100427						NA
ManzF6HSan_REP3.mLb.clN_peak_10355	chr3R	8027160	8027690	+	49	NA	promoter-TSS (FBgn0037541)	-promoter-TSS (FBgn0037541)	-251	FBgn0037541	FBgn0037541	FBtr0300917						NA
ManzF6HSan_REP3.mLb.clN_peak_8173	chr3L	12399311	12399464	+	49	NA	promoter-TSS (FBgn0052104)	-promoter-TSS (FBgn0052104)	-65	FBgn0052104	FBgn0052104	FBtr0075986						NA
ManzF6HSan_REP3.mLb.clN_peak_13646	chrX	125469	128176	+	49	NA	promoter-TSS (FBgn0025836)	-promoter-TSS (FBgn0025836)	-108	FBgn0025837	FBgn0025837	FBtr0112921						NA
ManzF6HSan_REP3.mLb.clN_peak_2499	chr2L	22249610	22250279	+	49	NA	promoter-TSS (FBgn0032988)	-promoter-TSS (FBgn0032988)	68	FBgn0032988	FBgn0032988	FBtr0085955						NA
ManzF6HSan_REP3.mLb.clN_peak_3847	chr2R	9971073	9972068	+	49	NA	TTS (FBgn0027619)	-TTS (FBgn0027619)	212	FBgn0033471	FBgn0033471	FBtr0479714						NA
ManzF6HSan_REP3.mLb.clN_peak_6106	chr2R	22491533	22492736	+	49	NA	promoter-TSS (FBgn0034735)	-promoter-TSS (FBgn0034735)	-63	FBgn0034735	FBgn0034735	FBtr0071834						NA
ManzF6HSan_REP3.mLb.clN_peak_1474	chr2L	12093707	12094364	+	49	NA	exon (FBgn0032407, exon 2 of 5)	-exon (FBgn0032407, exon 2 of 5)	-1677	FBgn0265805	FBgn0265805	FBtr0342605						NA
ManzF6HSan_REP3.mLb.clN_peak_16460	chrX	17656812	17659421	+	49	NA	intron (FBgn0250788, intron 1 of 7)	-intron (FBgn0250788, intron 1 of 6)	744	FBgn0250788	FBgn0250788	FBtr0334404						NA
ManzF6HSan_REP3.mLb.clN_peak_11912	chr3R	21096744	21098122	+	49	NA	TTS (FBgn0038854)	-TTS (FBgn0038854)	394	FBgn0038853	FBgn0038853	FBtr0084036						NA
ManzF6HSan_REP3.mLb.clN_peak_3328	chr2R	7779192	7780433	+	49	NA	exon (FBgn0286778, exon 2 of 3)	-exon (FBgn0286778, exon 2 of 3)	-3522	FBgn0266577	FBgn0266577	FBtr0344725						NA
ManzF6HSan_REP3.mLb.clN_peak_1214	chr2L	9616745	9617909	+	49	NA	TTS (FBgn0040070)	-TTS (FBgn0040070)	491	FBgn0032135	FBgn0032135	FBtr0079842						NA
ManzF6HSan_REP3.mLb.clN_peak_6072	chr2R	22323569	22324182	+	49	NA	intron (FBgn0013272, intron 1 of 4)	-intron (FBgn0013272, intron 2 of 5)	-1243	FBgn0013272	FBgn0013272	FBtr0342986						NA
ManzF6HSan_REP3.mLb.clN_peak_4309	chr2R	11984888	11985965	+	49	NA	promoter-TSS (FBgn0011704)	-promoter-TSS (FBgn0011704)	-33	FBgn0011704	FBgn0011704	FBtr0088046						NA
ManzF6HSan_REP3.mLb.clN_peak_7777	chr3L	9019231	9019506	+	49	NA	promoter-TSS (FBgn0035956)	-promoter-TSS (FBgn0035956)	-122	FBgn0035956	FBgn0035956	FBtr0076547						NA
ManzF6HSan_REP3.mLb.clN_peak_7501	chr3L	7263703	7264111	+	49	NA	promoter-TSS (FBgn0035755)	-promoter-TSS (FBgn0035755)	13	FBgn0035755	FBgn0035755	FBtr0309299						NA
ManzF6HSan_REP3.mLb.clN_peak_8429	chr3L	14992021	14992331	+	49	NA	promoter-TSS (FBgn0036461)	-promoter-TSS (FBgn0036461)	-113	FBgn0036461	FBgn0036461	FBtr0347146						NA
ManzF6HSan_REP3.mLb.clN_peak_7084	chr3L	3222919	3223730	+	49	NA	promoter-TSS (FBgn0035423)	-promoter-TSS (FBgn0035423)	-17	FBgn0035423	FBgn0035423	FBtr0073044						NA
ManzF6HSan_REP3.mLb.clN_peak_13042	chr3R	30202851	30203821	+	49	NA	promoter-TSS (FBgn0039756)	-promoter-TSS (FBgn0039756)	-338	FBgn0039756	FBgn0039756	FBtr0085571						NA
ManzF6HSan_REP3.mLb.clN_peak_6635	chr3L	160048	161475	+	49	NA	promoter-TSS (FBgn0035101)	-promoter-TSS (FBgn0035101)	-43	FBgn0035101	FBgn0035101	FBtr0301889						NA
ManzF6HSan_REP3.mLb.clN_peak_6247	chr2R	23365960	23367268	+	49	NA	promoter-TSS (FBgn0034853)	-promoter-TSS (FBgn0034853)	-252	FBgn0034853	FBgn0034853	FBtr0072010						NA
