PeakID (cmd=annotatePeaks.pl ManzF6HSan_REP2.mLb.clN_peaks.broadPeak Dmel_FB_r6_v46_chr_andMt.fasta -gid -gtf Dmel_FB_r6_v46_chr_andMt.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
ManzF6HSan_REP2.mLb.clN_peak_8725	chr3L	19261337	19261661	+	55	NA	promoter-TSS (FBgn0026630)	-promoter-TSS (FBgn0026630)	105	FBgn0260857	FBgn0260857	FBtr0074990						NA
ManzF6HSan_REP2.mLb.clN_peak_6171	chr2R	24389437	24390385	+	55	NA	promoter-TSS (FBgn0266048)	-promoter-TSS (FBgn0266048)	383	FBgn0000037	FBgn0000037	FBtr0072367						NA
ManzF6HSan_REP2.mLb.clN_peak_6812	chr3L	3192126	3193443	+	55	NA	promoter-TSS (FBgn0001233)	-promoter-TSS (FBgn0001233)	-185	FBgn0001233	FBgn0001233	FBtr0332873						NA
ManzF6HSan_REP2.mLb.clN_peak_2748	chr2R	5603053	5604955	+	55	NA	exon (FBgn0039969, exon 4 of 5)	-exon (FBgn0039969, exon 4 of 5)	613	FBgn0039969	FBgn0039969	FBtr0273210						NA
ManzF6HSan_REP2.mLb.clN_peak_3246	chr2R	7938204	7939359	+	55	NA	TTS (FBgn0050380)	-TTS (FBgn0050380)	333	FBgn0033235	FBgn0033235	FBtr0088882						NA
ManzF6HSan_REP2.mLb.clN_peak_4727	chr2R	15213048	15213973	+	55	NA	TTS (FBgn0033999)	-TTS (FBgn0033999)	124	FBgn0033998	FBgn0033998	FBtr0329939						NA
ManzF6HSan_REP2.mLb.clN_peak_14894	chrX	12017686	12018987	+	55	NA	promoter-TSS (FBgn0030364)	-promoter-TSS (FBgn0030364)	-304	FBgn0030364	FBgn0030364	FBtr0073621						NA
ManzF6HSan_REP2.mLb.clN_peak_14838	chrX	11709876	11710067	+	55	NA	promoter-TSS (FBgn0030327)	-promoter-TSS (FBgn0030327)	-20	FBgn0030327	FBgn0030327	FBtr0073620						NA
ManzF6HSan_REP2.mLb.clN_peak_7632	chr3L	9897265	9899644	+	55	NA	promoter-TSS (FBgn0036059)	-promoter-TSS (FBgn0036059)	-172	FBgn0286833	FBgn0286833	FBtr0474772						NA
ManzF6HSan_REP2.mLb.clN_peak_14976	chrX	12784664	12785236	+	55	NA	promoter-TSS (FBgn0052647)	-promoter-TSS (FBgn0052647)	8	FBgn0052647	FBgn0052647	FBtr0073702						NA
ManzF6HSan_REP2.mLb.clN_peak_4274	chr2R	12936225	12936962	+	55	NA	promoter-TSS (FBgn0033785)	-promoter-TSS (FBgn0033785)	-58	FBgn0033784	FBgn0033784	FBtr0087805						NA
ManzF6HSan_REP2.mLb.clN_peak_15712	chrX	18320794	18321767	+	55	NA	promoter-TSS (FBgn0030912)	-promoter-TSS (FBgn0030912)	-5379	FBgn0030912	FBgn0030912	FBtr0074579						NA
ManzF6HSan_REP2.mLb.clN_peak_7085	chr3L	5577327	5578339	+	55	NA	promoter-TSS (FBgn0015766)	-promoter-TSS (FBgn0015766)	-485	FBgn0015766	FBgn0015766	FBtr0345001						NA
ManzF6HSan_REP2.mLb.clN_peak_8265	chr3L	15982288	15983477	+	55	NA	promoter-TSS (FBgn0000115)	-promoter-TSS (FBgn0000115)	-13	FBgn0000212	FBgn0000212	FBtr0333580						NA
ManzF6HSan_REP2.mLb.clN_peak_11873	chr3R	24108659	24109303	+	55	NA	promoter-TSS (FBgn0039149)	-promoter-TSS (FBgn0039149)	-21	FBgn0053100	FBgn0053100	FBtr0303160						NA
ManzF6HSan_REP2.mLb.clN_peak_15511	chrX	16800047	16801331	+	55	NA	promoter-TSS (FBgn0030792)	-promoter-TSS (FBgn0030792)	-241	FBgn0030792	FBgn0030792	FBtr0074333						NA
ManzF6HSan_REP2.mLb.clN_peak_10603	chr3R	12961244	12961862	+	54	NA	promoter-TSS (FBgn0087021)	-promoter-TSS (FBgn0087021)	-192	FBgn0087021	FBgn0087021	FBtr0082690						NA
ManzF6HSan_REP2.mLb.clN_peak_4875	chr2R	16014434	16015135	+	54	NA	promoter-TSS (FBgn0034065)	-promoter-TSS (FBgn0034065)	3	FBgn0010590	FBgn0010590	FBtr0087262						NA
ManzF6HSan_REP2.mLb.clN_peak_1003	chr2L	8383770	8384568	+	54	NA	promoter-TSS (FBgn0032036)	-promoter-TSS (FBgn0032036)	-32	FBgn0263852	FBgn0263852	FBtr0079719						NA
ManzF6HSan_REP2.mLb.clN_peak_10747	chr3R	14307669	14309561	+	54	NA	promoter-TSS (FBgn0004855)	-promoter-TSS (FBgn0004855)	-26	FBgn0003567	FBgn0003567	FBtr0082946						NA
ManzF6HSan_REP2.mLb.clN_peak_8446	chr3L	17003686	17005211	+	54	NA	intron (FBgn0036684, intron 1 of 6)	-intron (FBgn0036684, intron 1 of 6)	-2088	FBgn0036684	FBgn0036684	FBtr0321285						NA
ManzF6HSan_REP2.mLb.clN_peak_11444	chr3R	20783641	20785264	+	54	NA	intron (FBgn0038826, intron 1 of 12)	-intron (FBgn0038826, intron 2 of 11)	-5534	FBgn0038826	FBgn0038826	FBtr0334713						NA
ManzF6HSan_REP2.mLb.clN_peak_8938	chr3L	20922398	20923713	+	54	NA	Intergenic	Intergenic	-1306	FBgn0264550	FBgn0264550	FBtr0333281						NA
ManzF6HSan_REP2.mLb.clN_peak_2389	chr2L	22143781	22144452	+	54	NA	exon (FBgn0261802, exon 4 of 8)	-exon (FBgn0261802, exon 4 of 8)	-7638	FBgn0083973	FBgn0083973	FBtr0303249						NA
ManzF6HSan_REP2.mLb.clN_peak_10542	chr3R	12221279	12221768	+	54	NA	promoter-TSS (FBgn0038000)	-promoter-TSS (FBgn0038000)	-59	FBgn0037999	FBgn0037999	FBtr0082623						NA
ManzF6HSan_REP2.mLb.clN_peak_4482	chr2R	14027013	14027457	+	54	NA	intron (FBgn0002643, intron 2 of 5)	-intron (FBgn0002643, intron 3 of 6)	-1385	FBgn0033893	FBgn0033893	FBtr0087599						NA
ManzF6HSan_REP2.mLb.clN_peak_2647	chr2R	4671435	4672999	+	54	NA	exon (FBgn0040005, exon 1 of 4)	-exon (FBgn0040005, exon 1 of 4)	364	FBgn0040005	FBgn0040005	FBtr0334996						NA
ManzF6HSan_REP2.mLb.clN_peak_1396	chr2L	11527921	11529021	+	54	NA	promoter-TSS (FBgn0028490)	-promoter-TSS (FBgn0028490)	-266	FBgn0028490	FBgn0028490	FBtr0345719						NA
ManzF6HSan_REP2.mLb.clN_peak_4688	chr2R	14983947	14984700	+	54	NA	promoter-TSS (FBgn0050241)	-promoter-TSS (FBgn0050241)	85	FBgn0050241	FBgn0050241	FBtr0087425						NA
ManzF6HSan_REP2.mLb.clN_peak_4874	chr2R	16011411	16011920	+	54	NA	promoter-TSS (FBgn0034063)	-promoter-TSS (FBgn0034063)	-15	FBgn0034063	FBgn0034063	FBtr0087205						NA
ManzF6HSan_REP2.mLb.clN_peak_7648	chr3L	10352346	10352675	+	54	NA	intron (FBgn0267668, intron 2 of 2)	-intron (FBgn0267668, intron 2 of 2)	-11509	FBgn0267668	FBgn0267668	FBtr0347140						NA
ManzF6HSan_REP2.mLb.clN_peak_9279	chr3L	23149013	23151213	+	54	NA	exon (FBgn0052350, exon 1 of 1)	-exon (FBgn0052350, exon 1 of 1)	386	FBgn0052350	FBgn0052350	FBtr0070046						NA
ManzF6HSan_REP2.mLb.clN_peak_1969	chr2L	19003175	19004118	+	54	NA	TTS (FBgn0051792)	-TTS (FBgn0051792)	279	FBgn0051793	FBgn0051793	FBtr0340318						NA
ManzF6HSan_REP2.mLb.clN_peak_12394	chr3R	29489040	29489701	+	54	NA	promoter-TSS (FBgn0039664)	-promoter-TSS (FBgn0039664)	-98	FBgn0039664	FBgn0039664	FBtr0085425						NA
ManzF6HSan_REP2.mLb.clN_peak_9947	chr3R	7249507	7250383	+	54	NA	promoter-TSS (FBgn0037491)	-promoter-TSS (FBgn0037491)	150	FBgn0037492	FBgn0037492	FBtr0081577						NA
ManzF6HSan_REP2.mLb.clN_peak_1145	chr2L	9616752	9617698	+	54	NA	TTS (FBgn0040070)	-TTS (FBgn0040070)	389	FBgn0032135	FBgn0032135	FBtr0079842						NA
ManzF6HSan_REP2.mLb.clN_peak_743	chr2L	6498606	6499880	+	54	NA	TTS (FBgn0031826)	-TTS (FBgn0031826)	596	FBgn0051637	FBgn0051637	FBtr0079287						NA
ManzF6HSan_REP2.mLb.clN_peak_13061	chrX	141797	142628	+	54	NA	promoter-TSS (FBgn0284435)	-promoter-TSS (FBgn0284435)	4	FBgn0284435	FBgn0284435	FBtr0340056						NA
ManzF6HSan_REP2.mLb.clN_peak_8370	chr3L	16594391	16595434	+	54	NA	promoter-TSS (FBgn0042178)	-promoter-TSS (FBgn0042178)	102	FBgn0027500	FBgn0027500	FBtr0075363						NA
ManzF6HSan_REP2.mLb.clN_peak_884	chr2L	7535037	7536649	+	54	NA	intron (FBgn0264895, intron 3 of 5)	-intron (FBgn0264895, intron 3 of 5)	16164	FBgn0264891	FBgn0264891	FBtr0334845						NA
ManzF6HSan_REP2.mLb.clN_peak_7159	chr3L	6253714	6254548	+	54	NA	intron (FBgn0035696, intron 1 of 11)	-intron (FBgn0035696, intron 1 of 11)	2534	FBgn0035696	FBgn0035696	FBtr0077010						NA
ManzF6HSan_REP2.mLb.clN_peak_2858	chr2R	6084836	6085910	+	54	NA	promoter-TSS (FBgn0033062)	-promoter-TSS (FBgn0033062)	252	FBgn0033062	FBgn0033062	FBtr0310667						NA
ManzF6HSan_REP2.mLb.clN_peak_3382	chr2R	8614587	8615404	+	54	NA	promoter-TSS (FBgn0033312)	-promoter-TSS (FBgn0033312)	273	FBgn0033313	FBgn0033313	FBtr0310448						NA
ManzF6HSan_REP2.mLb.clN_peak_13297	chrX	1308108	1308850	+	54	NA	promoter-TSS (FBgn0025641)	-promoter-TSS (FBgn0025641)	8709	FBgn0267970	FBgn0267970	FBtr0347551						NA
ManzF6HSan_REP2.mLb.clN_peak_9970	chr3R	7515674	7515932	+	54	NA	promoter-TSS (FBgn0015576)	-promoter-TSS (FBgn0015576)	-133	FBgn0015576	FBgn0015576	FBtr0081553						NA
ManzF6HSan_REP2.mLb.clN_peak_489	chr2L	4345807	4346030	+	54	NA	TTS (FBgn0020762)	-TTS (FBgn0020762)	-1583	FBgn0265908	FBgn0265908	FBtr0342832						NA
ManzF6HSan_REP2.mLb.clN_peak_14067	chrX	6372032	6373222	+	54	NA	intron (FBgn0003139, intron 2 of 3)	-intron (FBgn0003139, intron 1 of 2)	288	FBgn0003139	FBgn0003139	FBtr0331432						NA
ManzF6HSan_REP2.mLb.clN_peak_1119	chr2L	9495414	9495784	+	54	NA	promoter-TSS (FBgn0004868)	-promoter-TSS (FBgn0004868)	125	FBgn0032120	FBgn0032120	FBtr0089853						NA
ManzF6HSan_REP2.mLb.clN_peak_156	chr2L	1120493	1120922	+	54	NA	intron (FBgn0016926, intron 2 of 4)	-intron (FBgn0016926, intron 2 of 4)	-1676	FBgn0016926	FBgn0016926	FBtr0077987						NA
ManzF6HSan_REP2.mLb.clN_peak_13828	chrX	4647591	4648260	+	54	NA	promoter-TSS (FBgn0029718)	-promoter-TSS (FBgn0029718)	54	FBgn0029718	FBgn0029718	FBtr0070682						NA
ManzF6HSan_REP2.mLb.clN_peak_2769	chr2R	5691459	5692246	+	54	NA	promoter-TSS (FBgn0033033)	-promoter-TSS (FBgn0033033)	-646	FBgn0033033	FBgn0033033	FBtr0086060						NA
ManzF6HSan_REP2.mLb.clN_peak_3253	chr2R	7961912	7962980	+	54	NA	promoter-TSS (FBgn0027548)	-promoter-TSS (FBgn0027548)	-17	FBgn0027548	FBgn0027548	FBtr0088858						NA
ManzF6HSan_REP2.mLb.clN_peak_5944	chr2R	23074667	23074861	+	54	NA	promoter-TSS (FBgn0034816)	-promoter-TSS (FBgn0034816)	-39	FBgn0003062	FBgn0003062	FBtr0071982						NA
ManzF6HSan_REP2.mLb.clN_peak_8150	chr3L	14755038	14755709	+	54	NA	intron (FBgn0013263, intron 2 of 5)	-intron (FBgn0013263, intron 3 of 6)	2589	FBgn0260233	FBgn0260233	FBtr0300642						NA
ManzF6HSan_REP2.mLb.clN_peak_2390	chr2L	22145564	22146247	+	54	NA	exon (FBgn0261802, exon 5 of 8)	-exon (FBgn0261802, exon 5 of 8)	-5849	FBgn0083973	FBgn0083973	FBtr0303249						NA
ManzF6HSan_REP2.mLb.clN_peak_6650	chr3L	1887854	1888166	+	54	NA	intron (FBgn0262624, intron 1 of 5)	-intron (FBgn0262624, intron 1 of 5)	-1480	FBgn0262624	FBgn0262624	FBtr0072837						NA
ManzF6HSan_REP2.mLb.clN_peak_12965	chr4	979766	980319	+	54	NA	Intergenic	Intergenic	3247	FBgn0083990	FBgn0083990	FBtr0334622						NA
ManzF6HSan_REP2.mLb.clN_peak_2201	chr2L	20916858	20918984	+	54	NA	promoter-TSS (FBgn0032901)	-promoter-TSS (FBgn0032901)	1010	FBgn0032901	FBgn0032901	FBtr0330255						NA
ManzF6HSan_REP2.mLb.clN_peak_4056	chr2R	11755920	11756897	+	54	NA	promoter-TSS (FBgn0033652)	-promoter-TSS (FBgn0033652)	-409	FBgn0033652	FBgn0033652	FBtr0304622						NA
ManzF6HSan_REP2.mLb.clN_peak_10558	chr3R	12399986	12402200	+	54	NA	exon (FBgn0286075, exon 2 of 4)	-exon (FBgn0286075, exon 2 of 4)	746	FBgn0286075	FBgn0286075	FBtr0082600						NA
ManzF6HSan_REP2.mLb.clN_peak_8169	chr3L	14991854	14992331	+	54	NA	promoter-TSS (FBgn0036461)	-promoter-TSS (FBgn0036461)	-197	FBgn0036461	FBgn0036461	FBtr0347146						NA
ManzF6HSan_REP2.mLb.clN_peak_2787	chr2R	5757563	5758066	+	54	NA	TTS (FBgn0033038)	-TTS (FBgn0033038)	152	FBgn0085229	FBgn0085229	FBtr0112393						NA
ManzF6HSan_REP2.mLb.clN_peak_4515	chr2R	14152108	14153153	+	54	NA	promoter-TSS (FBgn0086895)	-promoter-TSS (FBgn0086895)	78	FBgn0033897	FBgn0033897	FBtr0310670						NA
ManzF6HSan_REP2.mLb.clN_peak_15547	chrX	17100837	17101340	+	54	NA	promoter-TSS (FBgn0030817)	-promoter-TSS (FBgn0030817)	4764	FBgn0065032	FBgn0065032	FBtr0074410						NA
ManzF6HSan_REP2.mLb.clN_peak_3816	chr2R	10555295	10555601	+	54	NA	Intergenic	Intergenic	-8188	FBgn0283426	FBgn0283426	FBtr0445179						NA
ManzF6HSan_REP2.mLb.clN_peak_14311	chrX	8129397	8130064	+	54	NA	promoter-TSS (FBgn0030003)	-promoter-TSS (FBgn0030003)	-82	FBgn0030003	FBgn0030003	FBtr0071152						NA
ManzF6HSan_REP2.mLb.clN_peak_6459	chr3L	652667	654741	+	54	NA	promoter-TSS (FBgn0035150)	-promoter-TSS (FBgn0035150)	385	FBgn0035149	FBgn0035149	FBtr0072558						NA
ManzF6HSan_REP2.mLb.clN_peak_2555	chr2R	2845016	2850158	+	54	NA	promoter-TSS (FBgn0085638)	-promoter-TSS (FBgn0085638)	-926	FBgn0085638	FBgn0085638	FBtr0301792						NA
ManzF6HSan_REP2.mLb.clN_peak_10928	chr3R	15836896	15837847	+	54	NA	promoter-TSS (FBgn0003483)	-promoter-TSS (FBgn0003483)	-48	FBgn0003483	FBgn0003483	FBtr0083183						NA
ManzF6HSan_REP2.mLb.clN_peak_10883	chr3R	15342525	15343580	+	54	NA	promoter-TSS (FBgn0038321)	-promoter-TSS (FBgn0038321)	58	FBgn0038321	FBgn0038321	FBtr0083119						NA
ManzF6HSan_REP2.mLb.clN_peak_12018	chr3R	25214791	25215623	+	54	NA	promoter-TSS (FBgn0039291)	-promoter-TSS (FBgn0039291)	-19	FBgn0039291	FBgn0039291	FBtr0084873						NA
ManzF6HSan_REP2.mLb.clN_peak_13003	chr4	1123981	1124900	+	54	NA	exon (FBgn0013749, exon 2 of 4)	-exon (FBgn0013749, exon 2 of 4)	273	FBgn0013749	FBgn0013749	FBtr0089192						NA
ManzF6HSan_REP2.mLb.clN_peak_10147	chr3R	8980509	8981720	+	54	NA	intron (FBgn0037646, intron 1 of 2)	-intron (FBgn0037646, intron 1 of 3)	254	FBgn0037646	FBgn0037646	FBtr0081958						NA
ManzF6HSan_REP2.mLb.clN_peak_12299	chr3R	28633308	28635786	+	54	NA	exon (FBgn0039590, exon 1 of 6)	-exon (FBgn0039590, exon 1 of 6)	552	FBgn0039590	FBgn0039590	FBtr0085319						NA
ManzF6HSan_REP2.mLb.clN_peak_6816	chr3L	3218296	3219589	+	54	NA	promoter-TSS (FBgn0035421)	-promoter-TSS (FBgn0035421)	-22	FBgn0035420	FBgn0035420	FBtr0346807						NA
ManzF6HSan_REP2.mLb.clN_peak_5370	chr2R	19129329	19129831	+	54	NA	promoter-TSS (FBgn0027535)	-promoter-TSS (FBgn0027535)	-9	FBgn0027535	FBgn0027535	FBtr0086579						NA
ManzF6HSan_REP2.mLb.clN_peak_796	chr2L	6833627	6834051	+	53	NA	intron (FBgn0051632, intron 4 of 4)	-intron (FBgn0051632, intron 4 of 4)	11905	FBgn0051632	FBgn0051632	FBtr0345446						NA
ManzF6HSan_REP2.mLb.clN_peak_500	chr2L	4444339	4445310	+	53	NA	promoter-TSS (FBgn0031604)	-promoter-TSS (FBgn0031604)	92	FBgn0031604	FBgn0031604	FBtr0077439						NA
ManzF6HSan_REP2.mLb.clN_peak_14423	chrX	8888741	8889223	+	53	NA	intron (FBgn0011661, intron 1 of 6)	-intron (FBgn0011661, intron 1 of 6)	9350	FBgn0011661	FBgn0011661	FBtr0331601						NA
ManzF6HSan_REP2.mLb.clN_peak_15554	chrX	17124276	17126042	+	53	NA	promoter-TSS (FBgn0260748)	-promoter-TSS (FBgn0260748)	-5264	FBgn0260748	FBgn0260748	FBtr0346797						NA
ManzF6HSan_REP2.mLb.clN_peak_1884	chr2L	18314173	18314565	+	53	NA	promoter-TSS (FBgn0265682)	-promoter-TSS (FBgn0265682)	-318	FBgn0265682	FBgn0265682	FBtr0340582						NA
ManzF6HSan_REP2.mLb.clN_peak_9773	chr3R	5684511	5686430	+	53	NA	promoter-TSS (FBgn0037364)	-promoter-TSS (FBgn0037364)	-36	FBgn0037364	FBgn0037364	FBtr0078727						NA
ManzF6HSan_REP2.mLb.clN_peak_633	chr2L	5546705	5547459	+	53	NA	promoter-TSS (FBgn0031717)	-promoter-TSS (FBgn0031717)	-121	FBgn0031717	FBgn0031717	FBtr0307064						NA
ManzF6HSan_REP2.mLb.clN_peak_819	chr2L	6966390	6968355	+	53	NA	exon (FBgn0264922, exon 2 of 2)	-exon (FBgn0264922, exon 2 of 2)	218	FBgn0264922	FBgn0264922	FBtr0079356						NA
ManzF6HSan_REP2.mLb.clN_peak_2788	chr2R	5759759	5761772	+	53	NA	promoter-TSS (FBgn0266580)	-promoter-TSS (FBgn0266580)	-97	FBgn0266580	FBgn0266580	FBtr0335270						NA
ManzF6HSan_REP2.mLb.clN_peak_1193	chr2L	10003721	10004922	+	53	NA	TTS (FBgn0266167)	-TTS (FBgn0266167)	489	FBgn0043456	FBgn0043456	FBtr0303902						NA
ManzF6HSan_REP2.mLb.clN_peak_6258	chr2R	24814590	24815642	+	53	NA	exon (FBgn0000157, exon 1 of 6)	-exon (FBgn0000157, exon 1 of 6)	294	FBgn0000157	FBgn0000157	FBtr0072379						NA
ManzF6HSan_REP2.mLb.clN_peak_8640	chr3L	18757069	18757519	+	53	NA	intron (FBgn0001078, intron 1 of 7)	-intron (FBgn0001078, intron 3 of 9)	-3209	FBgn0267600	FBgn0267600	FBtr0347046						NA
ManzF6HSan_REP2.mLb.clN_peak_1218	chr2L	10232470	10232824	+	53	NA	promoter-TSS (FBgn0032197)	-promoter-TSS (FBgn0032197)	140	FBgn0032198	FBgn0032198	FBtr0079952						NA
ManzF6HSan_REP2.mLb.clN_peak_10620	chr3R	13042583	13043577	+	53	NA	promoter-TSS (FBgn0003450)	-promoter-TSS (FBgn0003450)	1030	FBgn0038114	FBgn0038114	FBtr0475018						NA
ManzF6HSan_REP2.mLb.clN_peak_5430	chr2R	19452424	19452735	+	53	NA	promoter-TSS (FBgn0034447)	-promoter-TSS (FBgn0034447)	75	FBgn0034447	FBgn0034447	FBtr0086535						NA
ManzF6HSan_REP2.mLb.clN_peak_2856	chr2R	6075578	6077876	+	53	NA	promoter-TSS (FBgn0033060)	-promoter-TSS (FBgn0033060)	-183	FBgn0033060	FBgn0033060	FBtr0085977						NA
ManzF6HSan_REP2.mLb.clN_peak_8653	chr3L	18819077	18821817	+	53	NA	promoter-TSS (FBgn0036815)	-promoter-TSS (FBgn0036815)	228	FBgn0036814	FBgn0036814	FBtr0332801						NA
ManzF6HSan_REP2.mLb.clN_peak_14229	chrX	7605744	7606011	+	53	NA	Intergenic	Intergenic	-2551	FBgn0004198	FBgn0004198	FBtr0331733						NA
ManzF6HSan_REP2.mLb.clN_peak_5980	chr2R	23354478	23355636	+	53	NA	promoter-TSS (FBgn0050410)	-promoter-TSS (FBgn0050410)	-126	FBgn0050410	FBgn0050410	FBtr0305675						NA
ManzF6HSan_REP2.mLb.clN_peak_6624	chr3L	1664806	1665418	+	53	NA	promoter-TSS (FBgn0035254)	-promoter-TSS (FBgn0035254)	-26	FBgn0035254	FBgn0035254	FBtr0333923						NA
ManzF6HSan_REP2.mLb.clN_peak_5696	chr2R	21605743	21607259	+	53	NA	exon (FBgn0034638, exon 2 of 3)	-exon (FBgn0034638, exon 2 of 3)	-1186	FBgn0262888	FBgn0262888	FBtr0344613						NA
ManzF6HSan_REP2.mLb.clN_peak_8176	chr3L	15079245	15079684	+	53	NA	promoter-TSS (FBgn0086690)	-promoter-TSS (FBgn0086690)	-1017	FBgn0036474	FBgn0036474	FBtr0310278						NA
ManzF6HSan_REP2.mLb.clN_peak_7081	chr3L	5563232	5564496	+	53	NA	promoter-TSS (FBgn0029121)	-promoter-TSS (FBgn0029121)	90	FBgn0029121	FBgn0029121	FBtr0077083						NA
ManzF6HSan_REP2.mLb.clN_peak_12278	chr3R	28328418	28328804	+	53	NA	promoter-TSS (FBgn0261618)	-promoter-TSS (FBgn0261618)	6930	FBgn0261618	FBgn0261618	FBtr0301180						NA
ManzF6HSan_REP2.mLb.clN_peak_2844	chr2R	6022436	6023916	+	53	NA	promoter-TSS (FBgn0033051)	-promoter-TSS (FBgn0033051)	-32	FBgn0033051	FBgn0033051	FBtr0335289						NA
ManzF6HSan_REP2.mLb.clN_peak_1959	chr2L	18951391	18951996	+	53	NA	TTS (FBgn0032724)	-TTS (FBgn0032724)	144	FBgn0032725	FBgn0032725	FBtr0342928						NA
ManzF6HSan_REP2.mLb.clN_peak_8362	chr3L	16571831	16572526	+	53	NA	intron (FBgn0026061, intron 1 of 5)	-intron (FBgn0026061, intron 1 of 5)	223	FBgn0026061	FBgn0026061	FBtr0075398						NA
ManzF6HSan_REP2.mLb.clN_peak_6798	chr3L	3097405	3097893	+	53	NA	promoter-TSS (FBgn0052272)	-promoter-TSS (FBgn0052272)	130	FBgn0052286	FBgn0052286	FBtr0073022						NA
ManzF6HSan_REP2.mLb.clN_peak_13723	chrX	3968508	3969118	+	53	NA	promoter-TSS (FBgn0029689)	-promoter-TSS (FBgn0029689)	-120	FBgn0267037	FBgn0267037	FBtr0346011						NA
ManzF6HSan_REP2.mLb.clN_peak_9923	chr3R	7076545	7077065	+	53	NA	promoter-TSS (FBgn0037468)	-promoter-TSS (FBgn0037468)	-1318	FBgn0267568	FBgn0267568	FBtr0346979						NA
ManzF6HSan_REP2.mLb.clN_peak_15396	chrX	15996924	15997857	+	53	NA	TTS (FBgn0000611)	-TTS (FBgn0000611)	374	FBgn0030720	FBgn0030720	FBtr0074138						NA
ManzF6HSan_REP2.mLb.clN_peak_10419	chr3R	11216054	11216629	+	53	NA	promoter-TSS (FBgn0086472)	-promoter-TSS (FBgn0086472)	-54	FBgn0086472	FBgn0086472	FBtr0082370						NA
ManzF6HSan_REP2.mLb.clN_peak_9650	chr3R	5034361	5034814	+	53	NA	Intergenic	Intergenic	8438	FBgn0286032	FBgn0286032	FBtr0473376						NA
ManzF6HSan_REP2.mLb.clN_peak_1516	chr2L	12721406	12722885	+	53	NA	promoter-TSS (FBgn0032455)	-promoter-TSS (FBgn0032455)	-302	FBgn0032455	FBgn0032455	FBtr0301163						NA
ManzF6HSan_REP2.mLb.clN_peak_9735	chr3R	5482559	5483992	+	53	NA	exon (FBgn0015402, exon 1 of 1)	-exon (FBgn0015402, exon 1 of 1)	631	FBgn0015402	FBgn0015402	FBtr0344274						NA
ManzF6HSan_REP2.mLb.clN_peak_6634	chr3L	1729295	1731657	+	53	NA	TTS (FBgn0035264)	-TTS (FBgn0035264)	631	FBgn0027594	FBgn0027594	FBtr0334080						NA
ManzF6HSan_REP2.mLb.clN_peak_10506	chr3R	11876878	11877592	+	53	NA	promoter-TSS (FBgn0003312)	-promoter-TSS (FBgn0003312)	0	FBgn0003312	FBgn0003312	FBtr0082475						NA
ManzF6HSan_REP2.mLb.clN_peak_8874	chr3L	20385738	20386549	+	53	NA	promoter-TSS (FBgn0011205)	-promoter-TSS (FBgn0011205)	-1473	FBgn0011205	FBgn0011205	FBtr0307393						NA
ManzF6HSan_REP2.mLb.clN_peak_11725	chr3R	22753759	22755109	+	53	NA	promoter-TSS (FBgn0039026)	-promoter-TSS (FBgn0039026)	3533	FBgn0039025	FBgn0039025	FBtr0084311						NA
ManzF6HSan_REP2.mLb.clN_peak_207	chr2L	1911152	1911872	+	53	NA	promoter-TSS (FBgn0031374)	-promoter-TSS (FBgn0031374)	26647	FBgn0011859	FBgn0011859	FBtr0077872						NA
ManzF6HSan_REP2.mLb.clN_peak_7275	chr3L	7591363	7593341	+	53	NA	promoter-TSS (FBgn0035802)	-promoter-TSS (FBgn0035802)	-1354	FBgn0035800	FBgn0035800	FBtr0076824						NA
ManzF6HSan_REP2.mLb.clN_peak_11105	chr3R	17400271	17401805	+	53	NA	intron (FBgn0038504, intron 1 of 2)	-intron (FBgn0038504, intron 1 of 2)	416	FBgn0038504	FBgn0038504	FBtr0339531						NA
ManzF6HSan_REP2.mLb.clN_peak_12837	chr4	488817	490499	+	53	NA	promoter-TSS (FBgn0039908)	-promoter-TSS (FBgn0039908)	-664	FBgn0039908	FBgn0039908	FBtr0344869						NA
ManzF6HSan_REP2.mLb.clN_peak_6012	chr2R	23547545	23548594	+	53	NA	promoter-TSS (FBgn0034877)	-promoter-TSS (FBgn0034877)	82	FBgn0034876	FBgn0034876	FBtr0113112						NA
ManzF6HSan_REP2.mLb.clN_peak_9653	chr3R	5042794	5043702	+	53	NA	promoter-TSS (FBgn0286032)	-promoter-TSS (FBgn0286032)	-223	FBgn0286032	FBgn0286032	FBtr0473376						NA
ManzF6HSan_REP2.mLb.clN_peak_6375	chr3L	211011	213035	+	53	NA	promoter-TSS (FBgn0035111)	-promoter-TSS (FBgn0035111)	-566	FBgn0027587	FBgn0027587	FBtr0344842						NA
ManzF6HSan_REP2.mLb.clN_peak_751	chr2L	6561240	6562901	+	53	NA	promoter-TSS (FBgn0263916)	-promoter-TSS (FBgn0263916)	219	FBgn0031832	FBgn0031832	FBtr0343163						NA
ManzF6HSan_REP2.mLb.clN_peak_8761	chr3L	19598457	19599892	+	53	NA	promoter-TSS (FBgn0010417)	-promoter-TSS (FBgn0010417)	86	FBgn0010417	FBgn0010417	FBtr0333272						NA
