PeakID (cmd=annotatePeaks.pl AkaaF3Heat_REP2.mLb.clN_peaks.broadPeak Dmel_FB_r6_v46_chr_andMt.fasta -gid -gtf Dmel_FB_r6_v46_chr_andMt.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
AkaaF3Heat_REP2.mLb.clN_peak_12159	chrX	21064471	21064710	+	39	NA	promoter-TSS (FBgn0052512)	-promoter-TSS (FBgn0052512)	2950	FBgn0052512	FBgn0052512	FBtr0340438						NA
AkaaF3Heat_REP2.mLb.clN_peak_4132	chr2R	22202521	22202929	+	39	NA	promoter-TSS (FBgn0034709)	-promoter-TSS (FBgn0034709)	1217	FBgn0266925	FBgn0266925	FBtr0345795						NA
AkaaF3Heat_REP2.mLb.clN_peak_6468	chr3L	20241223	20241932	+	39	NA	promoter-TSS (FBgn0036959)	-promoter-TSS (FBgn0036959)	14	FBgn0036959	FBgn0036959	FBtr0074829						NA
AkaaF3Heat_REP2.mLb.clN_peak_10815	chrX	7728772	7729036	+	39	NA	promoter-TSS (FBgn0027553)	-promoter-TSS (FBgn0027553)	149	FBgn0029957	FBgn0029957	FBtr0071071						NA
AkaaF3Heat_REP2.mLb.clN_peak_9321	chr3R	28599375	28600521	+	39	NA	promoter-TSS (FBgn0001215)	-promoter-TSS (FBgn0001215)	-459	FBgn0001215	FBgn0001215	FBtr0085303						NA
AkaaF3Heat_REP2.mLb.clN_peak_5234	chr3L	7344927	7345344	+	39	NA	promoter-TSS (FBgn0035767)	-promoter-TSS (FBgn0035767)	-751	FBgn0035767	FBgn0035767	FBtr0076881						NA
AkaaF3Heat_REP2.mLb.clN_peak_3552	chr2R	17087314	17087784	+	39	NA	promoter-TSS (FBgn0050460)	-promoter-TSS (FBgn0050460)	4060	FBgn0010591	FBgn0010591	FBtr0087007						NA
AkaaF3Heat_REP2.mLb.clN_peak_11642	chrX	16610611	16611178	+	39	NA	TTS (FBgn0061200)	-TTS (FBgn0061200)	209	FBgn0025743	FBgn0025743	FBtr0074285						NA
AkaaF3Heat_REP2.mLb.clN_peak_5066	chr3L	5354682	5355871	+	38	NA	promoter-TSS (FBgn0016031)	-promoter-TSS (FBgn0016031)	70	FBgn0016031	FBgn0016031	FBtr0077159						NA
AkaaF3Heat_REP2.mLb.clN_peak_904	chr2L	9736513	9736707	+	38	NA	promoter-TSS (FBgn0032140)	-promoter-TSS (FBgn0032140)	-35	FBgn0032140	FBgn0032140	FBtr0335503						NA
AkaaF3Heat_REP2.mLb.clN_peak_10910	chrX	8905723	8906248	+	38	NA	promoter-TSS (FBgn0011586)	-promoter-TSS (FBgn0011586)	5	FBgn0011586	FBgn0011586	FBtr0071267						NA
AkaaF3Heat_REP2.mLb.clN_peak_7479	chr3R	7886246	7887251	+	38	NA	promoter-TSS (FBgn0037526)	-promoter-TSS (FBgn0037526)	-15	FBgn0037525	FBgn0037525	FBtr0333828						NA
AkaaF3Heat_REP2.mLb.clN_peak_3859	chr2R	19979155	19979990	+	38	NA	intron (FBgn0034479, intron 1 of 3)	-intron (FBgn0034479, intron 1 of 3)	330	FBgn0034479	FBgn0034479	FBtr0305677						NA
AkaaF3Heat_REP2.mLb.clN_peak_2443	chr2R	7381581	7382021	+	38	NA	promoter-TSS (FBgn0033159)	-promoter-TSS (FBgn0033159)	98	FBgn0033159	FBgn0033159	FBtr0334801						NA
AkaaF3Heat_REP2.mLb.clN_peak_2307	chr2R	6517622	6518110	+	38	NA	intron (FBgn0086655, intron 1 of 6)	-intron (FBgn0086655, intron 1 of 6)	-7571	FBgn0266620	FBgn0266620	FBtr0344903						NA
AkaaF3Heat_REP2.mLb.clN_peak_8490	chr3R	19096690	19096955	+	38	NA	promoter-TSS (FBgn0038679)	-promoter-TSS (FBgn0038679)	-139	FBgn0038679	FBgn0038679	FBtr0083729						NA
AkaaF3Heat_REP2.mLb.clN_peak_5863	chr3L	14360208	14360586	+	38	NA	intron (FBgn0001085, intron 4 of 4)	-intron (FBgn0001085, intron 4 of 4)	9310	FBgn0036421	FBgn0036421	FBtr0333022						NA
AkaaF3Heat_REP2.mLb.clN_peak_11998	chrX	19605143	19605294	+	38	NA	promoter-TSS (FBgn0031037)	-promoter-TSS (FBgn0031037)	19	FBgn0031037	FBgn0031037	FBtr0345918						NA
AkaaF3Heat_REP2.mLb.clN_peak_7202	chr3R	5824349	5824626	+	38	NA	promoter-TSS (FBgn0037384)	-promoter-TSS (FBgn0037384)	45	FBgn0037383	FBgn0037383	FBtr0344117						NA
AkaaF3Heat_REP2.mLb.clN_peak_10718	chrX	6981716	6981880	+	38	NA	promoter-TSS (FBgn0004646)	-promoter-TSS (FBgn0004646)	-2173	FBgn0264893	FBgn0264893	FBtr0334882						NA
AkaaF3Heat_REP2.mLb.clN_peak_7996	chr3R	13554054	13554369	+	38	NA	Intergenic	Intergenic	-8811	FBgn0051337	FBgn0051337	FBtr0082790						NA
AkaaF3Heat_REP2.mLb.clN_peak_5433	chr3L	9696795	9697127	+	38	NA	promoter-TSS (FBgn0036030)	-promoter-TSS (FBgn0036030)	-1375	FBgn0015321	FBgn0015321	FBtr0345604						NA
AkaaF3Heat_REP2.mLb.clN_peak_10838	chrX	7979639	7980205	+	38	NA	intron (FBgn0003447, intron 1 of 5)	-intron (FBgn0003447, intron 2 of 6)	-11686	FBgn0003656	FBgn0003656	FBtr0301675						NA
AkaaF3Heat_REP2.mLb.clN_peak_11664	chrX	16851547	16851804	+	38	NA	intron (FBgn0030798, intron 3 of 5)	-intron (FBgn0030798, intron 1 of 2)	-7242	FBgn0024941	FBgn0024941	FBtr0307538						NA
AkaaF3Heat_REP2.mLb.clN_peak_8435	chr3R	18447293	18447633	+	38	NA	promoter-TSS (FBgn0004652)	-promoter-TSS (FBgn0004652)	-34589	FBgn0051122	FBgn0051122	FBtr0474142						NA
AkaaF3Heat_REP2.mLb.clN_peak_4418	chr2R	24813788	24813925	+	38	NA	promoter-TSS (FBgn0000157)	-promoter-TSS (FBgn0000157)	-966	FBgn0000157	FBgn0000157	FBtr0072379						NA
AkaaF3Heat_REP2.mLb.clN_peak_6400	chr3L	19552071	19552466	+	38	NA	promoter-TSS (FBgn0036886)	-promoter-TSS (FBgn0036886)	22	FBgn0262517	FBgn0262517	FBtr0074974						NA
AkaaF3Heat_REP2.mLb.clN_peak_8464	chr3R	18849294	18849578	+	38	NA	promoter-TSS (FBgn0038653)	-promoter-TSS (FBgn0038653)	-212	FBgn0038653	FBgn0038653	FBtr0332809						NA
AkaaF3Heat_REP2.mLb.clN_peak_973	chr2L	10795704	10796050	+	38	NA	intron (FBgn0051869, intron 2 of 7)	-intron (FBgn0051869, intron 1 of 6)	5232	FBgn0051869	FBgn0051869	FBtr0290246						NA
AkaaF3Heat_REP2.mLb.clN_peak_2793	chr2R	10192237	10192560	+	38	NA	promoter-TSS (FBgn0033494)	-promoter-TSS (FBgn0033494)	7313	FBgn0085250	FBgn0085250	FBtr0345476						NA
AkaaF3Heat_REP2.mLb.clN_peak_1797	chr2L	20060641	20061760	+	38	NA	promoter-TSS (FBgn0019686)	-promoter-TSS (FBgn0019686)	170	FBgn0014127	FBgn0014127	FBtr0343850						NA
AkaaF3Heat_REP2.mLb.clN_peak_7014	chr3R	4452435	4452624	+	38	NA	promoter-TSS (FBgn0263620)	-promoter-TSS (FBgn0263620)	-176	FBgn0263620	FBgn0263620	FBtr0345149						NA
AkaaF3Heat_REP2.mLb.clN_peak_5411	chr3L	9426733	9427196	+	38	NA	promoter-TSS (FBgn0015296)	-promoter-TSS (FBgn0015296)	-46	FBgn0015296	FBgn0015296	FBtr0076458						NA
AkaaF3Heat_REP2.mLb.clN_peak_7908	chr3R	12464932	12465348	+	38	NA	TTS (FBgn0013277)	-TTS (FBgn0013277)	158	FBgn0038058	FBgn0038058	FBtr0082680						NA
AkaaF3Heat_REP2.mLb.clN_peak_652	chr2L	6966394	6966626	+	38	NA	TTS (FBgn0021944)	-TTS (FBgn0021944)	1080	FBgn0264922	FBgn0264922	FBtr0079356						NA
AkaaF3Heat_REP2.mLb.clN_peak_7482	chr3R	7911533	7911838	+	38	NA	promoter-TSS (FBgn0004901)	-promoter-TSS (FBgn0004901)	94	FBgn0004901	FBgn0004901	FBtr0304705						NA
AkaaF3Heat_REP2.mLb.clN_peak_8627	chr3R	20579733	20579962	+	38	NA	promoter-TSS (FBgn0023212)	-promoter-TSS (FBgn0023212)	3	FBgn0023212	FBgn0023212	FBtr0083947						NA
AkaaF3Heat_REP2.mLb.clN_peak_2369	chr2R	6883044	6883323	+	38	NA	promoter-TSS (FBgn0028988)	-promoter-TSS (FBgn0028988)	-97	FBgn0028988	FBgn0028988	FBtr0300357						NA
AkaaF3Heat_REP2.mLb.clN_peak_11363	chrX	13679968	13680575	+	38	NA	promoter-TSS (FBgn0030510)	-promoter-TSS (FBgn0030510)	229	FBgn0030510	FBgn0030510	FBtr0346119						NA
AkaaF3Heat_REP2.mLb.clN_peak_12421	chrX	23354000	23354788	+	38	NA	Intergenic	Intergenic	62694	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF3Heat_REP2.mLb.clN_peak_1666	chr2L	18830625	18831370	+	38	NA	promoter-TSS (FBgn0015808)	-promoter-TSS (FBgn0015808)	156	FBgn0032715	FBgn0032715	FBtr0344795						NA
AkaaF3Heat_REP2.mLb.clN_peak_7386	chr3R	7130994	7131117	+	38	NA	promoter-TSS (FBgn0051493)	-promoter-TSS (FBgn0051493)	-37	FBgn0051491	FBgn0051491	FBtr0081610						NA
AkaaF3Heat_REP2.mLb.clN_peak_9152	chr3R	26798987	26799660	+	38	NA	exon (FBgn0262473, exon 1 of 4)	-exon (FBgn0262473, exon 1 of 4)	282	FBgn0262473	FBgn0262473	FBtr0330154						NA
AkaaF3Heat_REP2.mLb.clN_peak_8222	chr3R	15873129	15873348	+	38	NA	intron (FBgn0051183, intron 1 of 8)	-intron (FBgn0051183, intron 1 of 8)	2701	FBgn0051183	FBgn0051183	FBtr0346151						NA
AkaaF3Heat_REP2.mLb.clN_peak_7436	chr3R	7503376	7503661	+	38	NA	intron (FBgn0015577, intron 1 of 3)	-intron (FBgn0015577, intron 1 of 4)	-1142	FBgn0037506	FBgn0037506	FBtr0081554						NA
AkaaF3Heat_REP2.mLb.clN_peak_2712	chr2R	9414208	9414731	+	38	NA	exon (FBgn0041087, exon 1 of 6)	-exon (FBgn0041087, exon 1 of 6)	127	FBgn0041087	FBgn0041087	FBtr0339380						NA
AkaaF3Heat_REP2.mLb.clN_peak_5255	chr3L	7592547	7593116	+	38	NA	promoter-TSS (FBgn0035802)	-promoter-TSS (FBgn0035802)	-1833	FBgn0035800	FBgn0035800	FBtr0076824						NA
AkaaF3Heat_REP2.mLb.clN_peak_2973	chr2R	11633263	11633669	+	38	NA	promoter-TSS (FBgn0033638)	-promoter-TSS (FBgn0033638)	7475	FBgn0033638	FBgn0033638	FBtr0479845						NA
AkaaF3Heat_REP2.mLb.clN_peak_11061	chrX	10478736	10479342	+	38	NA	promoter-TSS (FBgn0030208)	-promoter-TSS (FBgn0030208)	201	FBgn0030208	FBgn0030208	FBtr0336899						NA
AkaaF3Heat_REP2.mLb.clN_peak_6619	chr3L	21533488	21533766	+	38	NA	promoter-TSS (FBgn0029152)	-promoter-TSS (FBgn0029152)	86	FBgn0029152	FBgn0029152	FBtr0078384						NA
AkaaF3Heat_REP2.mLb.clN_peak_5427	chr3L	9630034	9630160	+	38	NA	promoter-TSS (FBgn0036019)	-promoter-TSS (FBgn0036019)	20	FBgn0036020	FBgn0036020	FBtr0333855						NA
AkaaF3Heat_REP2.mLb.clN_peak_7981	chr3R	13403052	13403384	+	38	NA	promoter-TSS (FBgn0053977)	-promoter-TSS (FBgn0053977)	-167	FBgn0053977	FBgn0053977	FBtr0100020						NA
AkaaF3Heat_REP2.mLb.clN_peak_9699	chr3R	31812132	31812398	+	38	NA	promoter-TSS (FBgn0266268)	-promoter-TSS (FBgn0266268)	-147	FBgn0266268	FBgn0266268	FBtr0085850						NA
AkaaF3Heat_REP2.mLb.clN_peak_11653	chrX	16750956	16751957	+	38	NA	TTS (FBgn0001250)	-TTS (FBgn0001250)	-5374	FBgn0027528	FBgn0027528	FBtr0343363						NA
AkaaF3Heat_REP2.mLb.clN_peak_5667	chr3L	12056117	12056648	+	38	NA	promoter-TSS (FBgn0041096)	-promoter-TSS (FBgn0041096)	8477	FBgn0041096	FBgn0041096	FBtr0334110						NA
AkaaF3Heat_REP2.mLb.clN_peak_4161	chr2R	22420930	22421047	+	38	NA	promoter-TSS (FBgn0034727)	-promoter-TSS (FBgn0034727)	-25	FBgn0034728	FBgn0034728	FBtr0305323						NA
AkaaF3Heat_REP2.mLb.clN_peak_3514	chr2R	16681218	16681941	+	38	NA	intron (FBgn0050463, intron 5 of 10)	-intron (FBgn0050463, intron 6 of 11)	2414	FBgn0050463	FBgn0050463	FBtr0087112						NA
AkaaF3Heat_REP2.mLb.clN_peak_8004	chr3R	13660493	13660638	+	38	NA	promoter-TSS (FBgn0004587)	-promoter-TSS (FBgn0004587)	-34	FBgn0004237	FBgn0004237	FBtr0334495						NA
AkaaF3Heat_REP2.mLb.clN_peak_66	chr2L	573959	574567	+	38	NA	promoter-TSS (FBgn0031268)	-promoter-TSS (FBgn0031268)	1	FBgn0031267	FBgn0031267	FBtr0078074						NA
AkaaF3Heat_REP2.mLb.clN_peak_9195	chr3R	27244634	27245733	+	38	NA	promoter-TSS (FBgn0042111)	-promoter-TSS (FBgn0042111)	-150	FBgn0267754	FBgn0267754	FBtr0347318						NA
AkaaF3Heat_REP2.mLb.clN_peak_845	chr2L	9129088	9129808	+	38	NA	intron (FBgn0052982, intron 2 of 6)	-intron (FBgn0052982, intron 2 of 8)	3711	FBgn0052982	FBgn0052982	FBtr0330218						NA
AkaaF3Heat_REP2.mLb.clN_peak_9965	chrX	580616	580880	+	38	NA	Intergenic	Intergenic	-1373	FBgn0261930	FBgn0261930	FBtr0110929						NA
AkaaF3Heat_REP2.mLb.clN_peak_5645	chr3L	11789177	11789303	+	38	NA	TTS (FBgn0036206)	-TTS (FBgn0036206)	773	FBgn0015278	FBgn0015278	FBtr0301816						NA
AkaaF3Heat_REP2.mLb.clN_peak_7339	chr3R	6708970	6709125	+	38	NA	intron (FBgn0051481, intron 7 of 7)	-intron (FBgn0051481, intron 8 of 8)	4963	FBgn0004783	FBgn0004783	FBtr0081691						NA
AkaaF3Heat_REP2.mLb.clN_peak_1323	chr2L	14813463	14813837	+	38	NA	Intergenic	Intergenic	2889	FBgn0053309	FBgn0053309	FBtr0080674						NA
AkaaF3Heat_REP2.mLb.clN_peak_11022	chrX	10125484	10125815	+	38	NA	intron (FBgn0083940, intron 3 of 7)	-intron (FBgn0083940, intron 4 of 6)	1302	FBgn0086045	FBgn0086045	FBtr0114321						NA
AkaaF3Heat_REP2.mLb.clN_peak_8923	chr3R	24108961	24109068	+	38	NA	promoter-TSS (FBgn0039149)	-promoter-TSS (FBgn0039149)	-54	FBgn0053100	FBgn0053100	FBtr0303160						NA
AkaaF3Heat_REP2.mLb.clN_peak_9157	chr3R	26881523	26881941	+	38	NA	promoter-TSS (FBgn0004359)	-promoter-TSS (FBgn0004359)	-2	FBgn0004359	FBgn0004359	FBtr0336724						NA
AkaaF3Heat_REP2.mLb.clN_peak_10406	chrX	3849351	3849722	+	38	NA	intron (FBgn0000542, intron 1 of 4)	-intron (FBgn0000542, intron 2 of 4)	3638	FBgn0000542	FBgn0000542	FBtr0112802						NA
AkaaF3Heat_REP2.mLb.clN_peak_8354	chr3R	17400613	17401457	+	38	NA	intron (FBgn0038504, intron 1 of 2)	-intron (FBgn0038504, intron 1 of 2)	419	FBgn0038504	FBgn0038504	FBtr0339531						NA
AkaaF3Heat_REP2.mLb.clN_peak_48	chr2L	431052	432656	+	38	NA	exon (FBgn0004583, exon 1 of 6)	-exon (FBgn0004583, exon 1 of 6)	627	FBgn0004583	FBgn0004583	FBtr0329832						NA
AkaaF3Heat_REP2.mLb.clN_peak_1492	chr2L	16656720	16657143	+	38	NA	promoter-TSS (FBgn0259735)	-promoter-TSS (FBgn0259735)	19770	FBgn0032593	FBgn0032593	FBtr0335144						NA
AkaaF3Heat_REP2.mLb.clN_peak_10187	chrX	2083804	2084042	+	38	NA	intron (FBgn0040395, intron 1 of 4)	-intron (FBgn0040395, intron 1 of 4)	-3518	FBgn0040394	FBgn0040394	FBtr0070434						NA
AkaaF3Heat_REP2.mLb.clN_peak_2253	chr2R	6102061	6103053	+	38	NA	intron (FBgn0000546, intron 4 of 7)	-intron (FBgn0000546, intron 3 of 6)	-16932	FBgn0033062	FBgn0033062	FBtr0310667						NA
AkaaF3Heat_REP2.mLb.clN_peak_5086	chr3L	5583363	5583704	+	38	NA	promoter-TSS (FBgn0035617)	-promoter-TSS (FBgn0035617)	-136	FBgn0035617	FBgn0035617	FBtr0077085						NA
AkaaF3Heat_REP2.mLb.clN_peak_7590	chr3R	8992905	8993377	+	38	NA	promoter-TSS (FBgn0037648)	-promoter-TSS (FBgn0037648)	-112	FBgn0037648	FBgn0037648	FBtr0336753						NA
AkaaF3Heat_REP2.mLb.clN_peak_11695	chrX	17178492	17178939	+	38	NA	exon (FBgn0000163, exon 2 of 10)	-exon (FBgn0000163, exon 2 of 10)	4527	FBgn0264818	FBgn0264818	FBtr0334466						NA
AkaaF3Heat_REP2.mLb.clN_peak_2539	chr2R	8144998	8146430	+	38	NA	exon (FBgn0263593, exon 1 of 12)	-exon (FBgn0263593, exon 1 of 12)	2864	FBgn0010504	FBgn0010504	FBtr0088812						NA
AkaaF3Heat_REP2.mLb.clN_peak_10561	chrX	5329768	5330044	+	38	NA	promoter-TSS (FBgn0026751)	-promoter-TSS (FBgn0026751)	30	FBgn0026751	FBgn0026751	FBtr0070763						NA
AkaaF3Heat_REP2.mLb.clN_peak_3650	chr2R	18133748	18134370	+	38	NA	exon (FBgn0001222, exon 2 of 8)	-exon (FBgn0001222, exon 2 of 8)	575	FBgn0001222	FBgn0001222	FBtr0110966						NA
AkaaF3Heat_REP2.mLb.clN_peak_4355	chr2R	24187529	24187741	+	38	NA	promoter-TSS (FBgn0266083)	-promoter-TSS (FBgn0266083)	-642	FBgn0266083	FBgn0266083	FBtr0343436						NA
AkaaF3Heat_REP2.mLb.clN_peak_8242	chr3R	16145996	16147367	+	38	NA	promoter-TSS (FBgn0038401)	-promoter-TSS (FBgn0038401)	174	FBgn0038400	FBgn0038400	FBtr0347199						NA
AkaaF3Heat_REP2.mLb.clN_peak_10039	chrX	1056333	1056841	+	38	NA	intron (FBgn0266005, intron 1 of 1)	-intron (FBgn0266005, intron 1 of 2)	5062	FBgn0040398	FBgn0040398	FBtr0070179						NA
AkaaF3Heat_REP2.mLb.clN_peak_1734	chr2L	19463916	19464347	+	38	NA	promoter-TSS (FBgn0000964)	-promoter-TSS (FBgn0000964)	-136	FBgn0000964	FBgn0000964	FBtr0329891						NA
AkaaF3Heat_REP2.mLb.clN_peak_5617	chr3L	11428413	11428970	+	38	NA	Intergenic	Intergenic	3533	FBgn0036157	FBgn0036157	FBtr0076173						NA
AkaaF3Heat_REP2.mLb.clN_peak_4950	chr3L	4133970	4134589	+	38	NA	TTS (FBgn0260985)	-TTS (FBgn0260985)	271	FBgn0264693	FBgn0264693	FBtr0345589						NA
AkaaF3Heat_REP2.mLb.clN_peak_11520	chrX	15085650	15086459	+	38	NA	promoter-TSS (FBgn0030612)	-promoter-TSS (FBgn0030612)	-71	FBgn0030612	FBgn0030612	FBtr0073964						NA
AkaaF3Heat_REP2.mLb.clN_peak_6218	chr3L	17947331	17947741	+	38	NA	exon (FBgn0266942, exon 1 of 1)	-exon (FBgn0266942, exon 1 of 1)	164	FBgn0266942	FBgn0266942	FBtr0345835						NA
AkaaF3Heat_REP2.mLb.clN_peak_9974	chrX	629131	629762	+	38	NA	promoter-TSS (FBgn0001341)	-promoter-TSS (FBgn0001341)	-327	FBgn0001341	FBgn0001341	FBtr0070119						NA
AkaaF3Heat_REP2.mLb.clN_peak_924	chr2L	10002434	10002661	+	38	NA	exon (FBgn0051755, exon 2 of 6)	-exon (FBgn0051755, exon 2 of 6)	189	FBgn0051755	FBgn0051755	FBtr0308122						NA
AkaaF3Heat_REP2.mLb.clN_peak_3393	chr2R	15380572	15381420	+	38	NA	promoter-TSS (FBgn0286813)	-promoter-TSS (FBgn0286813)	272	FBgn0286813	FBgn0286813	FBtr0479824						NA
AkaaF3Heat_REP2.mLb.clN_peak_6114	chr3L	16916103	16916334	+	38	NA	promoter-TSS (FBgn0261565)	-promoter-TSS (FBgn0261565)	-7034	FBgn0036676	FBgn0036676	FBtr0075261						NA
AkaaF3Heat_REP2.mLb.clN_peak_10492	chrX	4636239	4636369	+	38	NA	promoter-TSS (FBgn0025739)	-promoter-TSS (FBgn0025739)	-14	FBgn0025739	FBgn0025739	FBtr0070681						NA
AkaaF3Heat_REP2.mLb.clN_peak_2918	chr2R	11234450	11234982	+	38	NA	promoter-TSS (FBgn0033589)	-promoter-TSS (FBgn0033589)	-536	FBgn0033589	FBgn0033589	FBtr0088107						NA
AkaaF3Heat_REP2.mLb.clN_peak_155	chr2L	1414270	1414611	+	38	NA	intron (FBgn0002543, intron 1 of 13)	-intron (FBgn0002543, intron 1 of 13)	6013	FBgn0002543	FBgn0002543	FBtr0329985						NA
AkaaF3Heat_REP2.mLb.clN_peak_2437	chr2R	7352334	7352681	+	38	NA	intron (FBgn0033159, intron 5 of 23)	-intron (FBgn0033159, intron 6 of 23)	9162	FBgn0264880	FBgn0264880	FBtr0334802						NA
AkaaF3Heat_REP2.mLb.clN_peak_6590	chr3L	21304474	21304909	+	38	NA	promoter-TSS (FBgn0037071)	-promoter-TSS (FBgn0037071)	-6	FBgn0037071	FBgn0037071	FBtr0321281						NA
AkaaF3Heat_REP2.mLb.clN_peak_3076	chr2R	12528790	12529796	+	38	NA	exon (FBgn0011592, exon 1 of 10)	-exon (FBgn0011592, exon 1 of 10)	240	FBgn0011592	FBgn0011592	FBtr0339649						NA
AkaaF3Heat_REP2.mLb.clN_peak_4920	chr3L	3787707	3788089	+	38	NA	promoter-TSS (FBgn0052264)	-promoter-TSS (FBgn0052264)	-2906	FBgn0052266	FBgn0052266	FBtr0073147						NA
AkaaF3Heat_REP2.mLb.clN_peak_2824	chr2R	10477814	10478042	+	38	NA	promoter-TSS (FBgn0266627)	-promoter-TSS (FBgn0266627)	-115	FBgn0266627	FBgn0266627	FBtr0345623						NA
AkaaF3Heat_REP2.mLb.clN_peak_4506	chr3L	270918	271850	+	38	NA	promoter-TSS (FBgn0029002)	-promoter-TSS (FBgn0029002)	184	FBgn0029002	FBgn0029002	FBtr0332839						NA
AkaaF3Heat_REP2.mLb.clN_peak_203	chr2L	1937904	1938355	+	38	NA	promoter-TSS (FBgn0011859)	-promoter-TSS (FBgn0011859)	30	FBgn0011859	FBgn0011859	FBtr0077872						NA
AkaaF3Heat_REP2.mLb.clN_peak_3012	chr2R	11892013	11892147	+	38	NA	promoter-TSS (FBgn0284245)	-promoter-TSS (FBgn0284245)	945	FBgn0284245	FBgn0284245	FBtr0331927						NA
AkaaF3Heat_REP2.mLb.clN_peak_11	chr2L	107878	108107	+	38	NA	promoter-TSS (FBgn0005278)	-promoter-TSS (FBgn0005278)	231	FBgn0005278	FBgn0005278	FBtr0089437						NA
AkaaF3Heat_REP2.mLb.clN_peak_9735	chr4	60076	60717	+	38	NA	exon (FBgn0264617, exon 3 of 4)	-exon (FBgn0264617, exon 3 of 4)	3899	FBgn0264617	FBgn0264617	FBtr0333705						NA
AkaaF3Heat_REP2.mLb.clN_peak_11859	chrX	18507012	18507242	+	38	NA	intron (FBgn0030932, intron 2 of 3)	-intron (FBgn0030932, intron 2 of 3)	-1722	FBgn0010194	FBgn0010194	FBtr0343046						NA
AkaaF3Heat_REP2.mLb.clN_peak_11309	chrX	13128202	13129054	+	38	NA	promoter-TSS (FBgn0030451)	-promoter-TSS (FBgn0030451)	2	FBgn0065101	FBgn0065101	FBtr0091636						NA
AkaaF3Heat_REP2.mLb.clN_peak_3931	chr2R	20494602	20495070	+	38	NA	Intergenic	Intergenic	-2541	FBgn0265854	FBgn0265854	FBtr0342698						NA
AkaaF3Heat_REP2.mLb.clN_peak_5209	chr3L	6971300	6971572	+	38	NA	TTS (FBgn0035727)	-TTS (FBgn0035727)	1031	FBgn0035727	FBgn0035727	FBtr0076935						NA
AkaaF3Heat_REP2.mLb.clN_peak_4443	chr2R	24986436	24987105	+	38	NA	promoter-TSS (FBgn0010435)	-promoter-TSS (FBgn0010435)	-700	FBgn0010435	FBgn0010435	FBtr0343508						NA
AkaaF3Heat_REP2.mLb.clN_peak_10599	chrX	5770814	5771071	+	38	NA	promoter-TSS (FBgn0029804)	-promoter-TSS (FBgn0029804)	-162	FBgn0029804	FBgn0029804	FBtr0070836						NA
AkaaF3Heat_REP2.mLb.clN_peak_8332	chr3R	17151802	17151918	+	38	NA	promoter-TSS (FBgn0038491)	-promoter-TSS (FBgn0038491)	-1	FBgn0038491	FBgn0038491	FBtr0337042						NA
AkaaF3Heat_REP2.mLb.clN_peak_5348	chr3L	8696590	8696876	+	38	NA	Intergenic	Intergenic	4030	FBgn0265719	FBgn0265719	FBtr0340661						NA
AkaaF3Heat_REP2.mLb.clN_peak_4135	chr2R	22242178	22242298	+	38	NA	Intergenic	Intergenic	-5443	FBgn0265976	FBgn0265976	FBtr0342993						NA
AkaaF3Heat_REP2.mLb.clN_peak_3943	chr2R	20587240	20588543	+	38	NA	promoter-TSS (FBgn0034523)	-promoter-TSS (FBgn0034523)	-653	FBgn0034523	FBgn0034523	FBtr0086257						NA
AkaaF3Heat_REP2.mLb.clN_peak_2509	chr2R	7889975	7890447	+	38	NA	exon (FBgn0050377, exon 1 of 4)	-exon (FBgn0050377, exon 1 of 4)	186	FBgn0050377	FBgn0050377	FBtr0339121						NA
AkaaF3Heat_REP2.mLb.clN_peak_9752	chr4	227780	228107	+	38	NA	promoter-TSS (FBgn0039896)	-promoter-TSS (FBgn0039896)	21	FBgn0039896	FBgn0039896	FBtr0089115						NA
AkaaF3Heat_REP2.mLb.clN_peak_4557	chr3L	685149	685746	+	38	NA	TTS (FBgn0035154)	-TTS (FBgn0035154)	102	FBgn0035153	FBgn0035153	FBtr0072610						NA
AkaaF3Heat_REP2.mLb.clN_peak_5199	chr3L	6853882	6854311	+	38	NA	Intergenic	Intergenic	12343	FBgn0266590	FBgn0266590	FBtr0344812						NA
AkaaF3Heat_REP2.mLb.clN_peak_671	chr2L	7281251	7281719	+	38	NA	Intergenic	Intergenic	-4314	FBgn0010453	FBgn0010453	FBtr0334799						NA
AkaaF3Heat_REP2.mLb.clN_peak_11552	chrX	15449558	15450286	+	38	NA	promoter-TSS (FBgn0014455)	-promoter-TSS (FBgn0014455)	-39	FBgn0040285	FBgn0040285	FBtr0332592						NA
AkaaF3Heat_REP2.mLb.clN_peak_11831	chrX	18320832	18321588	+	37	NA	promoter-TSS (FBgn0030912)	-promoter-TSS (FBgn0030912)	-5309	FBgn0030912	FBgn0030912	FBtr0074579						NA
AkaaF3Heat_REP2.mLb.clN_peak_855	chr2L	9228464	9228818	+	37	NA	intron (FBgn0041092, intron 2 of 12)	-intron (FBgn0041092, intron 3 of 14)	7953	FBgn0051885	FBgn0051885	FBtr0079820						NA
